,date,"In 2016, [MASK] has become an adult.","In 2016, [MASK] was a kid.","In 2016, [MASK] was a teenager.","In 2016, [MASK] was a grown up.","In 2016, [MASK] was a child.","In 2016, [MASK] was an adolescent.","In 2016, [MASK] was an adult.","In 2016, [MASK] is a kid.","In 2016, [MASK] is a teenager.","In 2016, [MASK] is a grown up.","In 2016, [MASK] is a child.","In 2016, [MASK] is an adolescent.","In 2016, [MASK] is an adult.","In 2016, [MASK] will be a kid.","In 2016, [MASK] will be a teenager.","In 2016, [MASK] will be a grown up.","In 2016, [MASK] will be a child.","In 2016, [MASK] will be an adolescent.","In 2016, [MASK] will be an adult.","In 2016, [MASK] is being a kid.","In 2016, [MASK] is being a teenager.","In 2016, [MASK] is being a grown up.","In 2016, [MASK] is being a child.","In 2016, [MASK] is being an adolescent.","In 2016, [MASK] is being an adult.","In 2016, [MASK] has been a kid.","In 2016, [MASK] has been a teenager.","In 2016, [MASK] has been a grown up.","In 2016, [MASK] has been a child.","In 2016, [MASK] has been an adolescent.","In 2016, [MASK] has been an adult.","In 2016, [MASK] became a kid.","In 2016, [MASK] became a teenager.","In 2016, [MASK] became a grown up.","In 2016, [MASK] became a child.","In 2016, [MASK] became an adolescent.","In 2016, [MASK] became an adult.","In 2016, [MASK] becomes a kid.","In 2016, [MASK] becomes a teenager.","In 2016, [MASK] becomes a grown up.","In 2016, [MASK] becomes a child.","In 2016, [MASK] becomes an adolescent.","In 2016, [MASK] becomes an adult.","In 2016, [MASK] will become a kid.","In 2016, [MASK] will become a teenager.","In 2016, [MASK] will become a grown up.","In 2016, [MASK] will become a child.","In 2016, [MASK] will become an adolescent.","In 2016, [MASK] will become an adult.","In 2016, [MASK] is becoming a kid.","In 2016, [MASK] is becoming a teenager.","In 2016, [MASK] is becoming a grown up.","In 2016, [MASK] is becoming a child.","In 2016, [MASK] is becoming an adolescent.","In 2016, [MASK] is becoming an adult.","In 2016, [MASK] has become a kid.","In 2016, [MASK] has become a teenager.","In 2016, [MASK] has become a grown up.","In 2016, [MASK] has become a child.","In 2016, [MASK] has become an adolescent."
11,1882,51.3,58.0,51.2,34.7,22.5,57.3,49.7,28.2,22.4,26.7,8.0,24.3,39.7,14.4,40.5,31.2,2.1,40.2,51.7,37.7,25.8,29.4,29.4,33.6,50.4,34.0,45.2,34.2,5.3,52.4,47.8,70.7,57.0,37.3,36.5,64.8,58.0,51.0,36.4,31.0,30.6,46.4,46.6,55.2,46.7,40.2,32.4,50.2,52.1,30.0,24.8,25.5,25.3,26.5,44.1,42.3,35.8,33.5,30.0,35.7
12,1889,52.6,54.0,49.2,34.0,23.8,55.1,51.2,27.4,23.3,26.9,9.6,24.5,19.1,16.5,43.2,31.9,2.4,42.9,53.6,32.0,22.3,28.7,28.9,32.6,52.1,35.1,44.3,34.0,6.2,50.8,48.6,68.5,54.3,36.6,35.5,61.8,57.9,50.7,39.0,31.0,32.9,48.5,48.9,53.5,47.9,41.1,32.2,50.4,54.9,27.5,21.9,23.9,23.7,24.5,45.2,41.0,35.3,32.4,29.3,35.3
13,1897,48.4,51.9,47.4,34.5,23.8,51.0,48.4,21.3,20.2,26.2,10.4,19.9,36.0,15.8,38.7,30.7,2.3,42.0,49.9,29.5,20.7,27.9,27.1,27.9,48.4,35.7,44.1,36.4,5.5,50.5,47.5,66.3,53.0,36.1,35.9,58.6,54.3,45.7,34.2,28.1,29.6,44.9,44.4,50.0,43.9,38.9,30.9,46.4,49.7,24.3,19.5,22.4,20.4,20.7,40.4,36.6,32.7,32.1,27.2,31.3
14,1904,46.9,53.3,46.8,32.8,25.8,53.4,46.7,21.2,21.1,25.4,10.9,21.0,35.7,11.4,32.6,26.9,2.1,35.3,46.9,31.5,21.5,26.0,25.8,30.3,44.5,32.6,40.4,30.6,6.5,49.2,45.0,64.7,51.9,33.4,34.6,59.1,52.4,45.6,33.2,27.1,28.2,44.3,44.1,45.7,37.9,35.0,28.9,42.3,47.3,24.2,18.3,21.1,19.2,22.2,38.0,34.8,30.5,28.5,25.2,32.3
15,1912,49.0,51.8,45.7,33.0,24.2,52.8,48.6,18.0,20.2,24.6,11.3,23.1,30.6,9.4,30.1,29.8,1.7,38.0,50.4,28.1,18.4,26.1,25.4,28.1,47.6,34.7,37.0,34.3,5.3,47.3,46.5,63.6,51.6,36.7,35.4,59.0,55.0,45.0,33.9,29.6,31.1,47.6,48.1,45.4,37.7,38.4,29.9,43.9,51.2,21.7,17.1,22.2,20.7,22.6,42.2,32.4,27.2,30.2,26.1,31.7
16,1919,51.4,54.5,48.4,34.4,27.5,55.8,50.3,15.9,19.2,25.9,13.3,24.2,44.4,9.8,37.5,32.9,3.3,44.1,53.7,27.0,19.1,27.2,26.2,29.0,47.1,37.3,40.1,34.2,7.4,51.6,48.9,65.5,54.7,38.4,37.7,63.1,56.6,48.8,37.9,32.8,32.6,50.3,48.9,51.6,44.0,42.6,32.5,50.0,54.3,24.4,19.5,24.0,21.1,24.4,42.8,37.6,31.1,33.1,27.7,35.1
17,1927,47.7,52.1,45.0,33.1,31.4,51.9,47.8,14.9,17.8,23.5,18.2,22.5,40.0,9.5,32.7,30.9,3.5,41.5,50.8,24.6,15.7,24.2,21.8,23.6,41.3,39.1,39.1,35.0,14.1,48.9,48.8,64.8,50.7,36.8,38.7,56.8,53.9,47.2,35.3,29.8,32.7,48.6,45.4,49.2,39.8,38.8,31.3,45.9,50.8,22.0,16.9,20.1,18.4,20.8,36.7,35.3,28.5,29.5,25.7,31.5
18,1934,49.5,49.6,46.6,34.3,28.8,58.6,51.6,10.3,18.1,24.1,14.6,27.5,45.3,3.0,33.7,30.2,2.3,41.0,55.5,29.8,17.7,25.4,25.4,27.0,46.6,33.1,40.6,36.9,7.1,52.6,51.7,63.1,53.9,38.8,39.1,63.5,56.6,46.9,38.5,32.4,34.7,53.9,49.4,47.1,40.7,41.0,30.7,48.4,53.4,22.0,16.9,21.0,19.9,23.5,40.4,34.5,28.5,30.7,27.2,33.9
19,1941,46.7,50.2,45.0,33.7,29.8,53.2,48.7,16.1,17.4,23.7,15.9,23.3,42.5,5.6,28.3,27.6,2.9,38.4,51.1,23.3,14.8,23.4,24.5,23.5,42.1,36.4,35.4,35.1,9.6,47.0,47.9,62.5,50.6,37.7,38.3,58.6,54.4,45.4,34.7,31.5,33.7,46.9,46.3,44.2,35.2,38.0,30.6,42.9,50.2,20.4,13.8,18.9,19.3,19.7,37.5,33.3,23.7,28.1,26.7,29.5
20,1949,54.7,54.9,46.0,34.6,29.4,53.5,50.0,19.0,22.9,29.9,18.4,31.3,47.3,8.4,37.5,35.2,3.2,48.0,55.8,30.0,19.5,30.0,31.0,32.0,47.5,40.2,41.1,38.1,11.4,54.8,53.2,66.4,52.1,36.9,38.5,59.3,53.0,51.4,40.5,34.8,37.9,52.8,49.1,52.1,43.7,44.3,34.0,52.7,54.7,27.6,21.0,26.1,27.2,29.7,44.7,41.5,33.8,36.0,32.6,40.2
21,1956,54.1,50.7,48.5,34.9,28.9,59.3,51.3,22.3,25.2,29.5,18.1,36.0,44.9,4.6,36.4,33.9,2.2,46.2,54.5,32.9,22.8,31.5,32.1,35.9,46.9,43.7,40.8,38.7,13.2,56.2,53.4,66.7,54.1,38.4,40.9,64.3,55.7,52.0,40.9,33.9,37.9,56.0,47.1,50.8,42.4,43.6,34.3,53.1,53.6,28.1,22.6,27.4,27.3,32.2,43.5,43.0,34.7,36.4,32.9,43.7
22,1964,51.0,47.1,46.9,34.4,28.7,53.1,49.4,20.5,23.6,28.9,15.3,31.0,43.7,3.3,34.5,33.9,2.0,43.2,53.3,29.4,19.4,29.9,30.5,30.0,42.9,40.3,40.3,38.2,14.0,52.3,51.5,64.1,51.4,36.8,39.8,57.2,52.6,50.2,38.4,33.0,36.3,50.7,46.1,48.3,40.7,43.1,33.9,48.6,53.0,24.7,19.5,26.5,26.4,26.6,40.7,40.0,32.6,34.4,32.0,37.6
23,1971,52.7,43.7,43.7,32.6,23.9,50.6,49.3,17.4,22.1,30.2,13.1,28.5,43.8,1.8,33.3,31.8,1.5,39.4,53.4,27.7,19.6,32.6,31.4,27.6,45.5,39.5,39.0,36.6,12.3,50.6,50.8,60.9,48.4,35.6,37.6,53.8,52.9,45.3,35.6,31.3,34.1,45.9,45.1,47.2,39.2,41.6,31.7,46.0,52.8,25.5,21.3,29.9,27.8,27.1,44.4,41.2,33.4,35.4,31.7,38.4
24,1978,52.1,45.1,41.7,32.8,24.2,48.3,47.9,19.3,22.9,29.4,17.2,28.6,42.0,3.6,33.2,32.2,2.2,40.2,51.8,29.6,20.6,32.9,31.6,27.4,44.5,42.9,38.4,36.7,18.7,50.3,51.3,60.8,46.8,34.6,37.1,52.1,50.0,46.6,35.9,30.7,35.2,45.8,44.3,49.8,39.3,41.9,33.1,46.2,52.1,27.5,23.0,31.1,29.5,27.8,43.9,42.8,35.0,35.7,33.5,38.8
25,1986,50.8,44.4,38.8,31.2,23.2,45.0,46.6,19.0,23.8,29.3,17.1,27.2,40.7,3.2,34.2,33.1,2.3,38.1,51.7,28.0,20.6,32.8,32.1,24.9,42.6,41.8,35.8,35.6,18.8,47.0,50.1,57.1,43.3,33.0,36.1,48.6,47.4,44.5,34.7,30.7,35.1,43.6,43.1,48.1,38.6,42.0,32.0,44.0,51.6,25.5,21.7,30.0,29.1,24.7,42.0,41.5,33.1,35.5,33.3,36.5
26,1993,49.8,41.4,34.4,30.7,23.6,41.8,45.1,18.1,21.7,29.9,17.1,26.0,40.9,0.0,32.3,32.7,2.0,37.4,50.9,29.4,21.1,34.8,33.4,27.5,43.9,41.3,35.6,36.2,18.6,48.8,50.0,53.3,37.5,30.6,33.5,43.1,43.9,38.4,28.4,28.4,32.0,38.5,40.4,45.0,36.7,41.8,30.9,44.8,50.8,25.5,20.7,31.8,29.2,26.9,42.1,40.7,32.2,35.6,32.9,37.3
27,2001,47.1,40.4,30.7,28.7,19.4,37.1,42.5,21.8,21.4,29.6,17.4,28.1,40.6,3.6,31.2,30.6,0.0,38.3,47.0,35.7,26.3,36.4,35.5,33.2,47.1,42.8,35.8,34.0,17.0,46.2,47.3,48.3,33.5,28.1,31.8,37.2,39.3,36.6,25.2,26.3,30.9,34.5,38.0,45.9,34.8,39.3,29.6,42.9,47.3,31.7,24.3,32.9,31.9,30.3,44.0,45.2,33.7,33.6,33.7,39.3
28,2008,48.7,34.7,31.6,30.3,13.3,39.6,44.7,25.0,25.4,32.0,16.6,34.9,45.1,3.9,34.3,30.7,1.8,38.9,47.0,44.6,33.3,39.0,38.5,41.6,52.4,40.0,38.1,33.8,13.7,48.7,48.8,48.3,34.5,30.5,33.6,39.0,41.8,37.0,27.8,28.8,33.2,36.6,41.6,47.3,39.1,40.1,32.2,46.8,48.7,38.7,30.1,35.4,36.2,38.2,48.3,46.9,37.9,34.3,36.0,43.4
29,2016,47.4,32.7,29.9,29.3,11.2,37.3,44.4,29.3,27.2,33.1,13.0,37.6,46.1,6.7,34.6,29.0,2.1,39.7,45.7,50.0,36.6,39.3,39.6,44.5,52.6,38.3,38.3,33.4,7.5,48.6,48.1,41.5,31.1,28.0,30.0,34.8,39.2,37.2,27.8,29.3,33.8,34.7,42.9,48.1,38.8,37.9,31.6,47.4,47.8,43.9,33.1,35.8,37.5,41.4,47.8,49.1,38.8,34.3,36.5,44.3
