,date,"In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
10,1875,1.952,0.0,1.017,1.364,1.113,1.115,1.099,0.0,1.892,1.386,1.772,1.628,1.567,0.0,1.003,1.554,0.912,1.198,0.0,1.958,1.456,1.747,2.715,2.207,1.915,0.684,1.063,1.927,0.812,1.556,1.366,0.0,0.992,0.0,0.931,1.266,0.0,0.878,2.035,1.569,1.544,2.647,1.831,0.0,0.962,1.784,0.841,1.273,0.0,0.809,2.885,1.953,2.058,3.144,3.151,1.048,2.359,2.077,1.231,2.516
11,1882,2.095,0.0,0.969,1.45,1.155,1.125,1.335,0.0,2.364,1.382,2.49,2.467,2.092,0.0,1.165,1.752,1.221,1.181,0.0,2.339,1.898,2.444,2.914,2.656,2.325,0.866,1.051,2.225,1.054,1.994,1.443,0.0,1.054,1.965,1.048,1.437,0.0,1.047,2.727,1.516,1.805,2.097,1.855,45.239,1.271,1.866,1.054,1.379,1.749,1.13,2.762,2.422,1.482,2.513,3.107,1.206,2.109,2.789,1.981,2.751
12,1889,2.391,0.0,1.083,1.372,1.299,1.297,1.319,0.0,2.587,1.727,2.08,2.488,2.097,0.0,1.277,1.915,1.247,1.493,1.764,2.463,2.805,2.057,2.949,2.722,2.513,0.9,1.383,2.299,1.148,1.955,1.573,0.0,1.062,1.897,1.05,1.604,0.0,0.932,2.267,1.988,1.447,2.303,1.762,0.0,1.524,1.86,0.949,1.636,1.944,0.963,2.631,2.324,1.331,3.23,2.412,1.33,2.794,2.419,1.703,2.773
13,1897,2.419,0.0,1.013,1.482,1.392,1.495,1.373,0.0,2.45,1.378,2.02,2.622,1.881,0.0,1.318,1.967,1.201,1.546,1.599,2.463,3.194,2.156,2.838,2.795,2.475,0.986,1.331,2.071,0.923,1.996,1.402,0.0,1.204,1.952,1.268,1.979,1.709,0.988,2.644,1.747,1.593,2.676,2.026,47.314,1.434,1.907,1.122,1.77,1.996,0.961,2.771,2.544,1.265,3.303,2.623,1.335,2.443,2.461,2.003,2.988
14,1904,2.641,0.0,1.291,1.642,1.237,1.564,1.481,0.0,2.636,1.787,2.171,2.261,1.869,0.0,1.559,1.694,1.215,1.399,1.376,2.653,3.431,3.303,3.416,2.608,2.354,1.117,1.572,2.362,1.428,2.145,1.666,0.0,1.272,2.19,1.03,1.605,2.04,1.007,2.692,2.196,2.386,2.492,2.188,0.576,1.487,1.796,1.138,1.704,2.031,1.132,3.225,2.248,1.288,2.603,2.405,1.694,2.843,2.699,2.147,2.638
15,1912,2.689,0.0,1.566,1.743,1.193,1.442,1.691,0.0,2.517,1.862,1.97,2.724,1.965,0.0,2.034,2.176,1.354,1.833,1.646,2.487,3.26,2.656,3.113,3.094,2.147,1.086,1.388,2.254,1.073,2.287,1.497,0.0,1.448,2.229,1.077,2.081,2.101,1.25,2.94,2.266,1.49,2.737,2.232,0.74,2.052,2.095,1.118,2.145,2.542,0.956,4.2,2.592,2.179,3.363,2.586,1.672,2.812,2.943,1.723,3.058
16,1919,1.391,0.0,0.91,1.15,1.151,0.989,0.921,0.0,1.931,1.369,1.554,1.836,1.558,0.0,0.855,1.487,0.785,0.816,1.085,0.0,62.548,1.466,1.443,2.22,1.396,0.79,0.934,1.446,0.784,1.357,0.928,0.0,0.847,1.578,0.79,1.292,1.282,0.786,2.119,1.784,1.075,2.323,1.591,44.677,0.914,1.324,61.816,1.242,1.543,58.593,2.089,1.788,1.775,2.979,2.124,0.0,1.665,1.88,1.318,1.781
17,1927,2.878,0.0,2.072,1.801,1.273,1.968,1.691,0.0,2.66,2.223,2.209,3.229,2.336,0.0,2.211,2.425,1.295,1.892,1.753,0.0,3.352,2.608,2.673,3.357,2.306,1.39,2.016,2.309,1.331,2.492,1.724,0.0,1.932,2.225,1.427,2.409,0.0,1.397,2.51,3.131,1.791,2.937,2.705,0.0,2.133,2.045,1.315,2.275,2.46,1.212,3.519,3.192,1.396,3.613,2.705,0.0,3.531,3.041,1.929,3.439
18,1934,2.182,0.0,1.674,1.767,1.31,1.863,1.613,0.0,2.975,1.816,2.049,2.428,2.029,0.0,1.536,1.843,1.146,1.465,1.61,2.312,1.916,2.141,2.333,2.661,1.707,1.374,1.607,1.913,1.357,2.159,1.519,0.0,1.685,2.213,0.883,1.834,1.698,1.069,2.944,2.258,1.637,2.242,1.994,45.361,1.997,1.962,1.006,1.723,2.011,1.266,3.442,2.435,1.412,2.875,3.382,1.581,2.998,2.855,1.813,2.718
19,1941,2.126,0.475,1.918,1.549,1.485,1.823,1.294,0.0,3.214,2.147,2.458,2.417,1.97,0.0,1.84,2.106,1.598,1.68,1.499,2.232,2.786,2.328,2.229,2.837,1.463,1.326,1.527,2.135,1.364,2.338,1.238,0.0,1.683,1.91,1.064,1.842,1.872,0.97,2.982,2.965,1.628,2.779,2.341,46.704,2.034,1.994,1.103,1.944,1.666,1.266,4.522,3.111,1.45,3.351,3.266,1.344,3.421,3.079,1.418,3.284
20,1949,2.412,0.0,1.599,1.501,1.071,1.715,0.0,0.0,2.425,2.496,2.039,3.201,2.205,0.0,1.889,2.023,0.0,1.732,1.602,2.859,1.578,2.777,2.753,2.066,1.799,1.143,1.677,2.443,1.323,2.348,1.7,0.0,1.424,1.987,1.157,2.504,0.0,1.316,2.095,2.93,1.779,2.701,2.431,0.797,2.02,2.368,1.333,2.122,0.0,1.487,3.357,3.329,1.507,3.076,2.388,1.579,3.195,3.247,1.973,3.21
21,1956,2.267,0.526,1.596,1.397,1.081,1.59,0.0,0.0,2.409,2.202,2.226,2.798,2.144,0.0,2.032,2.208,1.485,1.63,1.651,2.823,1.591,2.57,2.452,2.745,2.077,1.454,1.793,2.1,1.301,2.299,1.528,0.0,1.412,1.904,0.977,1.715,1.59,1.694,2.742,2.937,1.656,2.684,2.527,0.679,2.306,2.309,1.031,2.242,2.129,1.549,3.949,3.583,1.45,3.351,2.663,1.564,3.424,3.5,1.598,2.766
22,1964,2.55,0.0,1.53,1.444,1.064,1.376,1.424,0.0,2.509,2.478,1.909,2.516,2.274,0.0,2.075,2.213,1.23,2.251,1.891,2.84,1.62,2.634,2.248,2.778,1.845,1.035,1.616,1.974,0.95,2.35,1.46,0.0,1.701,1.701,0.986,1.923,1.802,1.605,2.759,2.917,1.593,3.023,2.296,0.85,2.53,2.299,1.276,2.155,2.296,1.417,3.903,3.494,1.337,3.023,2.515,1.846,3.973,3.403,1.406,3.072
23,1971,1.907,4.587,1.227,1.059,0.773,1.189,1.189,0.0,2.44,2.313,2.264,2.844,2.301,0.0,1.743,2.115,0.0,1.817,1.508,2.194,1.84,2.327,2.02,2.606,1.721,1.357,1.443,1.657,1.057,2.27,1.088,0.0,1.248,1.414,0.875,1.362,1.356,1.195,2.075,3.061,1.485,2.963,2.362,0.0,1.923,2.219,1.033,1.898,0.0,1.379,2.937,3.299,1.433,3.044,2.412,1.411,2.422,2.702,1.088,2.55
24,1978,1.99,0.447,1.278,1.217,0.861,1.043,1.485,0.0,2.177,2.246,1.848,3.207,2.281,0.0,1.985,2.199,1.064,1.704,1.689,2.348,1.553,2.083,1.942,2.572,1.532,1.138,1.828,1.785,1.098,2.176,1.334,0.0,1.296,1.557,0.834,1.443,1.383,1.158,2.061,2.493,1.266,2.521,2.684,0.735,2.042,2.097,1.015,2.188,2.263,1.241,2.791,2.945,1.973,3.07,3.05,1.397,3.111,2.817,1.316,2.773
25,1986,2.484,0.429,1.22,1.416,0.69,1.199,1.402,0.0,2.571,2.409,2.156,3.839,3.262,0.0,1.881,2.681,0.0,2.18,2.264,2.83,2.507,2.554,2.307,3.008,1.72,1.607,1.854,2.332,1.185,2.707,1.723,0.0,1.685,1.68,0.945,1.582,1.75,1.408,2.299,2.49,1.823,3.543,2.553,0.85,2.673,2.406,1.256,2.524,2.499,1.41,3.415,3.369,1.437,3.403,3.011,1.83,3.806,3.012,1.685,3.531
26,1993,2.49,0.538,1.518,1.543,0.773,1.631,1.865,0.0,3.0,2.777,2.019,4.546,3.059,0.0,2.751,2.789,1.552,3.049,2.307,2.547,2.711,2.449,2.811,3.128,1.601,1.476,1.81,2.478,1.339,2.827,1.859,0.0,1.562,1.724,1.089,1.988,2.165,1.765,2.641,3.159,1.926,3.232,2.844,42.114,2.968,2.399,1.49,3.043,2.815,1.5,4.398,3.296,1.535,3.839,2.596,1.685,3.818,3.168,1.569,3.757
27,2001,2.617,0.558,1.546,1.542,0.945,1.504,2.045,0.0,3.101,2.963,2.774,5.141,3.711,0.0,3.253,3.195,2.144,3.088,2.415,3.02,2.719,3.195,2.773,3.352,1.782,1.802,1.971,2.641,1.526,2.893,1.496,0.0,1.791,1.636,1.173,2.49,2.01,2.069,2.811,3.195,2.364,4.764,2.75,0.0,2.74,3.065,1.602,3.061,2.91,1.775,3.894,3.912,1.933,4.01,4.687,1.982,3.65,3.217,2.087,3.925
28,2008,3.314,0.0,1.279,1.273,1.109,1.91,2.171,0.0,3.977,3.174,2.811,5.083,3.586,0.0,0.0,2.837,0.0,3.308,2.8,3.125,2.914,3.433,3.54,3.574,2.223,1.409,1.715,2.779,1.504,3.268,1.407,0.0,1.997,1.639,1.336,2.806,1.77,2.04,3.864,3.366,2.649,4.578,2.959,0.0,0.0,2.734,1.663,3.059,3.056,1.537,3.632,3.842,1.907,4.584,3.186,0.0,4.092,3.156,2.315,4.407
29,2016,5.649,1.134,2.208,1.907,1.648,2.278,2.948,0.0,5.034,3.229,5.648,6.461,4.642,0.0,3.586,3.271,2.695,2.306,3.564,0.0,4.137,4.074,5.155,5.151,3.873,3.583,4.089,2.916,4.428,4.803,3.284,1.017,2.663,1.542,1.255,2.859,2.399,2.466,4.443,3.232,3.162,5.301,5.615,0.0,0.0,4.001,2.058,0.0,3.339,0.0,5.16,5.011,3.919,4.941,6.363,0.0,5.725,4.852,4.349,6.119
