,place,"The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adolescent.', is"
10,Switzerland,26.284,29.784,29.971,27.861,28.762,29.475,28.785,28.048,28.334,30.056,28.8,28.208,27.703,30.84,28.203,29.276,27.926,28.133,24.189,29.322,29.648,29.062,29.065,28.956,23.817,29.843,24.871,24.513,28.918,27.449,20.631,28.767,21.718,23.528,27.481,28.375,21.723,27.315,26.417,28.566,27.741,26.773,23.602,31.065,29.144,28.77,30.547,30.9,23.142,30.512,27.294,28.0,34.251,29.394,21.196,32.373,25.511,27.319,32.573,33.267
11,Ireland,22.942,22.181,21.039,20.416,23.522,23.834,25.052,23.007,17.625,19.003,24.543,23.825,19.465,23.748,6.95,17.562,22.396,21.161,19.338,25.035,20.947,24.277,27.897,21.119,19.065,24.257,17.438,21.364,25.562,23.635,22.244,24.609,17.63,21.878,24.42,26.003,19.559,16.14,17.982,16.931,19.687,21.388,16.403,23.398,8.295,20.857,23.757,23.778,16.705,28.675,17.469,21.043,29.725,23.732,18.427,26.551,20.774,22.929,29.18,32.47
12,Lithuania,28.501,34.98,33.842,30.045,32.382,31.151,30.944,33.493,31.126,26.496,31.747,30.945,28.652,33.631,29.449,29.283,32.357,34.159,27.614,24.627,25.2,23.358,29.534,25.879,20.13,33.443,28.797,24.44,30.575,28.589,25.347,35.022,26.587,25.506,31.921,30.495,23.295,28.993,27.406,25.454,27.94,25.458,23.443,35.67,31.436,28.247,33.847,32.578,27.896,34.078,30.224,25.904,35.521,30.666,20.596,36.344,31.489,29.578,33.935,34.247
13,Rwanda,9.576,9.852,9.994,9.532,9.865,10.272,10.088,9.865,10.0,9.794,9.655,10.224,9.549,12.907,12.425,12.633,13.097,13.508,9.579,0.834,7.515,9.299,0.943,9.512,0.0,9.48,9.093,8.019,10.46,8.929,7.683,10.943,8.985,9.875,10.921,10.77,8.0,12.037,12.558,10.503,12.042,12.396,9.985,14.356,15.165,12.698,15.262,13.663,10.675,8.737,10.118,8.013,9.497,0.832,6.28,10.775,10.968,9.145,11.136,9.852
14,Namibia,19.249,22.781,20.725,17.443,25.768,20.175,22.075,25.347,15.662,15.506,21.807,16.918,16.83,23.855,8.636,13.268,27.127,19.188,16.067,20.39,15.185,15.619,21.282,16.085,13.261,26.461,15.951,15.102,22.66,17.042,15.292,26.402,14.239,17.799,24.788,20.487,16.741,20.371,16.547,14.489,20.973,18.337,14.27,26.235,15.166,13.223,27.117,18.803,15.78,25.51,15.968,14.119,25.663,15.831,12.617,29.319,16.823,16.625,29.252,19.786
15,Sweden,20.973,19.971,21.137,15.676,21.218,24.309,19.67,20.067,17.4,16.106,22.249,23.318,19.776,22.259,18.891,16.142,20.596,23.515,17.766,19.082,19.548,19.207,23.483,21.157,18.659,22.239,17.529,17.393,22.887,21.756,16.227,21.246,16.317,17.206,23.136,24.467,16.621,17.967,20.863,18.862,22.852,23.062,20.351,24.343,23.473,17.905,24.715,23.79,17.7,22.744,21.037,19.619,27.785,25.305,17.27,25.692,24.125,21.433,25.888,26.012
16,New Zealand,28.629,29.732,22.987,23.35,27.675,26.912,28.305,29.312,20.359,22.597,28.928,23.765,23.071,29.271,21.484,22.46,27.771,24.164,22.937,22.628,19.422,21.297,25.671,20.79,19.381,29.687,18.875,20.691,29.238,23.669,23.326,29.712,18.921,23.784,27.424,28.354,22.947,25.445,20.089,20.383,24.203,23.151,18.666,28.757,24.325,23.423,29.28,23.589,22.06,33.111,20.296,20.499,31.655,24.888,19.046,33.624,21.619,24.253,32.91,27.758
17,Norway,18.496,20.971,21.031,14.091,18.887,21.246,15.449,17.467,16.54,11.557,18.018,17.733,13.039,20.18,17.632,12.28,16.794,19.712,12.157,17.228,14.62,14.479,18.893,15.342,12.155,20.27,15.24,13.077,19.088,17.096,11.342,20.689,15.427,14.917,20.669,20.157,13.574,17.595,16.575,13.63,17.343,19.744,13.521,20.802,18.601,14.15,19.63,20.402,13.531,21.294,17.768,15.801,22.374,18.975,11.926,24.548,20.878,17.504,23.553,27.222
18,Finland,25.714,29.243,31.723,28.043,28.212,29.976,24.413,31.21,27.953,29.133,32.033,27.663,25.721,31.832,31.041,31.765,31.823,31.063,24.832,26.077,27.446,23.277,28.311,26.41,21.211,30.1,25.535,25.691,30.244,23.692,21.654,31.795,25.47,26.925,30.53,26.263,23.199,26.078,24.991,25.924,25.676,23.56,21.884,32.995,29.927,33.628,6.63,29.269,24.597,31.865,28.448,29.228,33.875,26.217,21.224,33.44,29.956,27.423,31.995,28.447
19,Iceland,21.351,25.487,21.779,15.052,23.328,24.767,20.194,24.496,18.938,12.86,24.927,20.517,18.313,25.318,17.619,14.588,21.576,21.673,17.097,20.987,13.597,14.795,24.086,16.454,13.76,26.22,18.873,19.481,23.596,21.458,17.478,26.569,16.688,15.657,24.473,23.791,15.205,19.997,15.599,14.588,20.709,19.198,15.19,26.868,16.6,15.836,26.163,23.201,18.021,29.941,18.993,18.748,30.432,23.054,13.965,29.608,21.763,21.619,29.335,27.404
