,place,"The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adolescent.', is"
10,Switzerland,99.86,20.021,99.999,16.461,15.714,18.275,99.998,63.875,79.057,17.433,20.307,20.356,52.462,15.086,16.887,99.985,14.808,99.986,99.987,0.511,52.551,98.459,1.162,14.735,43.983,99.216,99.995,14.729,13.956,15.414,99.995,99.993,16.507,49.0,14.221,15.218,16.611,14.639,99.922,91.96,16.79,98.629,95.792,14.288,14.989,99.951,99.998,99.991,99.945,96.558,99.997,98.406,54.913,99.998,99.586,99.998,28.897,99.998,99.999,99.999
11,Ireland,99.992,18.785,16.89,15.837,14.697,17.325,15.075,17.302,46.662,17.015,14.415,50.417,17.903,14.526,14.783,99.968,14.789,15.967,99.994,99.94,17.24,99.857,15.031,15.115,99.583,99.961,14.425,14.677,84.266,14.625,99.91,14.878,15.475,15.298,14.283,17.584,16.144,14.419,99.616,99.75,99.996,99.965,99.816,14.349,15.401,99.988,99.998,99.984,99.937,99.764,99.997,99.998,99.998,99.998,99.98,94.505,99.999,99.999,4.954,14.687
12,Lithuania,28.846,16.16,30.226,99.998,14.6,28.985,99.997,58.393,30.349,99.998,15.6,99.997,23.568,14.373,28.883,99.996,99.995,14.562,99.998,16.871,99.99,99.997,13.803,99.994,99.997,99.975,99.996,99.997,14.288,99.996,99.998,14.644,14.812,29.315,99.998,14.68,29.104,14.358,30.282,99.925,99.999,99.995,96.884,14.177,29.016,99.982,14.016,99.998,99.978,99.524,99.998,99.999,99.999,99.999,99.998,99.999,99.999,99.999,99.999,99.998
13,Rwanda,99.996,16.856,29.298,99.998,28.693,28.941,99.998,37.754,13.403,99.998,16.782,5.576,11.056,15.743,28.747,99.995,99.997,99.998,99.994,16.423,9.637,16.622,17.249,0.912,99.992,99.883,99.996,99.999,11.069,99.997,99.996,15.044,29.132,29.939,99.998,28.61,29.158,99.997,29.326,99.989,99.997,30.757,42.531,99.998,28.755,29.273,99.997,28.668,99.998,99.998,0.527,4.911,0.895,99.999,99.998,99.999,0.691,99.998,99.999,99.999
14,Namibia,30.569,16.678,15.628,17.889,15.599,44.637,20.748,17.241,49.156,16.719,19.796,58.689,54.132,14.444,28.989,99.992,15.671,29.1,99.998,16.39,99.997,99.998,10.152,99.996,18.522,97.407,28.732,99.997,14.042,99.998,99.998,15.625,16.909,16.22,28.724,28.921,15.621,99.998,18.824,99.989,99.998,65.98,55.293,99.999,29.29,99.992,99.997,30.238,99.998,99.999,99.999,7.63,99.999,28.802,99.998,99.999,29.066,32.764,99.999,99.999
15,Sweden,99.874,21.135,18.218,16.961,14.993,61.026,19.025,32.499,62.593,99.976,4.452,56.456,73.004,14.286,14.855,99.954,81.731,99.833,99.967,7.953,17.439,95.471,6.867,2.066,94.287,86.223,15.263,15.109,15.788,99.772,14.546,99.889,18.748,17.953,14.015,17.771,55.408,11.691,98.207,77.143,0.365,95.915,6.133,8.823,99.855,99.776,13.262,97.773,99.507,11.234,72.571,16.917,52.076,16.137,98.563,16.279,0.0,14.607,1.039,96.485
16,New Zealand,99.857,17.561,17.904,15.876,28.884,45.562,19.395,33.235,58.979,16.627,91.858,65.624,19.249,14.293,28.89,99.991,19.583,15.192,99.994,1.725,14.618,99.126,15.66,1.58,98.087,91.97,99.995,99.998,75.979,99.987,99.997,14.637,28.929,15.521,14.045,15.556,16.252,99.996,15.079,99.907,5.666,99.604,95.542,13.974,28.671,99.953,99.997,99.91,99.987,96.275,5.669,13.35,55.896,99.998,99.997,99.998,28.779,99.999,0.0,99.998
17,Norway,33.115,16.682,18.05,17.538,15.117,17.556,17.958,48.76,69.195,17.996,18.965,20.113,52.583,15.547,15.764,15.586,14.931,15.454,99.989,12.632,18.071,99.088,11.201,16.279,98.368,84.628,14.645,99.997,1.438,15.158,15.106,15.871,19.202,16.757,14.483,48.704,17.855,13.356,18.616,91.96,7.815,99.944,23.728,14.453,15.786,99.939,13.804,99.991,99.576,87.786,99.997,17.624,85.714,99.998,99.993,87.273,1.103,99.998,10.866,15.286
18,Finland,99.997,20.165,18.167,16.959,15.289,17.76,16.808,58.893,52.264,17.561,16.485,62.824,19.333,14.548,15.897,15.57,19.965,15.775,99.996,8.024,17.058,25.193,15.663,98.927,99.185,58.413,14.622,14.987,1.936,14.85,14.599,16.578,16.486,18.862,99.998,16.186,17.925,13.571,46.466,99.792,9.242,99.894,98.083,13.639,15.429,99.984,99.998,99.989,99.977,64.132,99.998,99.998,86.622,99.998,99.198,77.023,99.999,99.998,9.158,99.661
19,Iceland,99.993,17.476,16.745,17.201,15.039,17.348,16.2,99.992,28.462,99.998,99.997,18.329,99.996,14.394,15.702,15.235,14.252,15.034,15.628,14.534,99.76,99.813,8.593,99.015,98.652,74.59,99.997,99.999,0.185,14.733,14.577,99.972,16.222,16.093,99.998,15.972,15.976,12.413,98.763,99.84,9.921,99.863,97.394,12.791,28.856,99.918,11.599,99.99,99.785,54.122,99.998,16.455,87.076,99.999,99.997,77.77,99.999,99.999,11.375,99.999
