,place,"In Iceland, <mask> has become an adult.","In Iceland, <mask> was a kid.","In Iceland, <mask> was a teenager.","In Iceland, <mask> was a grown up.","In Iceland, <mask> was a child.","In Iceland, <mask> was an adolescent.","In Iceland, <mask> was an adult.","In Iceland, <mask> is a kid.","In Iceland, <mask> is a teenager.","In Iceland, <mask> is a grown up.","In Iceland, <mask> is a child.","In Iceland, <mask> is an adolescent.","In Iceland, <mask> is an adult.","In Iceland, <mask> will be a kid.","In Iceland, <mask> will be a teenager.","In Iceland, <mask> will be a grown up.","In Iceland, <mask> will be a child.","In Iceland, <mask> will be an adolescent.","In Iceland, <mask> will be an adult.","In Iceland, <mask> is being a kid.","In Iceland, <mask> is being a teenager.","In Iceland, <mask> is being a grown up.","In Iceland, <mask> is being a child.","In Iceland, <mask> is being an adolescent.","In Iceland, <mask> is being an adult.","In Iceland, <mask> has been a kid.","In Iceland, <mask> has been a teenager.","In Iceland, <mask> has been a grown up.","In Iceland, <mask> has been a child.","In Iceland, <mask> has been an adolescent.","In Iceland, <mask> has been an adult.","In Iceland, <mask> became a kid.","In Iceland, <mask> became a teenager.","In Iceland, <mask> became a grown up.","In Iceland, <mask> became a child.","In Iceland, <mask> became an adolescent.","In Iceland, <mask> became an adult.","In Iceland, <mask> becomes a kid.","In Iceland, <mask> becomes a teenager.","In Iceland, <mask> becomes a grown up.","In Iceland, <mask> becomes a child.","In Iceland, <mask> becomes an adolescent.","In Iceland, <mask> becomes an adult.","In Iceland, <mask> will become a kid.","In Iceland, <mask> will become a teenager.","In Iceland, <mask> will become a grown up.","In Iceland, <mask> will become a child.","In Iceland, <mask> will become an adolescent.","In Iceland, <mask> will become an adult.","In Iceland, <mask> is becoming a kid.","In Iceland, <mask> is becoming a teenager.","In Iceland, <mask> is becoming a grown up.","In Iceland, <mask> is becoming a child.","In Iceland, <mask> is becoming an adolescent.","In Iceland, <mask> is becoming an adult.","In Iceland, <mask> has become a kid.","In Iceland, <mask> has become a teenager.","In Iceland, <mask> has become a grown up.","In Iceland, <mask> has become a child.","In Iceland, <mask> has become an adolescent."
10,Switzerland,13.6,2.8,11.8,16.7,9.7,8.0,19.5,0.0,11.4,10.6,0.0,5.0,7.4,0.0,25.0,15.5,7.9,16.8,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,16.1,7.9,3.5,10.9,3.7,29.4,14.0,15.5,17.6,30.5,5.0,29.3,14.1,7.7,18.2,17.5,5.1,31.7,17.5,14.0,21.5,30.2,0.0,4.3,15.6,0.0,3.2,12.2,0.0,22.2,18.1,6.1,5.5
11,Ireland,13.8,2.8,11.1,16.9,8.9,7.9,16.8,0.0,17.1,13.9,3.2,8.0,12.1,5.6,27.6,16.1,12.1,22.1,23.9,0.0,0.0,0.0,0.0,0.0,0.0,3.6,25.7,14.7,9.6,5.4,9.9,3.6,26.7,12.4,14.9,15.8,26.4,6.7,25.5,18.3,12.4,19.0,24.3,5.0,32.7,14.7,14.1,22.4,29.5,1.8,10.0,16.1,6.1,5.4,14.5,1.8,27.1,17.5,7.5,7.4
12,Lithuania,11.8,2.5,10.2,14.6,8.0,6.4,15.4,0.0,12.6,10.6,0.0,3.0,4.8,0.0,20.1,14.3,5.3,10.8,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,12.9,7.0,2.8,8.5,3.4,28.4,13.2,13.0,16.8,27.7,5.7,30.4,15.6,9.2,18.9,16.7,4.0,29.3,15.3,9.8,18.4,20.5,0.0,6.7,17.4,0.0,4.7,15.5,1.4,21.6,17.0,3.9,5.7
13,Rwanda,15.8,2.4,9.0,11.7,5.3,3.4,16.4,0.0,14.4,9.2,0.0,4.6,5.8,0.0,25.5,17.7,8.7,16.1,21.3,0.0,0.0,0.0,0.0,0.0,0.0,3.2,23.7,16.1,7.5,8.3,11.7,4.6,23.3,9.9,11.5,12.6,24.5,10.4,30.1,23.4,13.7,18.9,27.2,6.8,30.8,17.7,13.8,21.6,27.0,0.0,10.4,18.0,0.0,6.2,16.3,2.4,21.6,19.5,4.0,7.9
14,Namibia,8.0,2.5,9.3,12.5,6.2,4.2,12.4,0.0,9.8,9.5,0.0,3.6,5.7,0.0,21.8,13.2,0.0,14.6,17.6,0.0,0.0,0.0,0.0,0.0,0.0,2.3,17.8,8.5,4.4,0.0,5.2,3.4,22.3,8.6,11.6,13.4,21.0,4.9,27.4,16.0,7.1,18.4,18.4,3.8,26.1,14.1,10.4,19.9,23.9,0.0,5.0,13.3,2.4,2.7,11.4,0.0,16.4,12.9,3.3,4.2
15,Sweden,14.8,2.6,9.8,19.0,10.0,7.2,22.3,0.0,19.1,16.1,0.0,6.0,11.1,5.5,28.0,19.9,9.8,20.1,26.2,0.0,0.0,0.0,0.0,0.0,0.0,3.4,28.2,20.2,10.2,4.7,13.9,4.4,29.3,17.6,17.9,19.4,32.4,8.8,25.9,21.5,11.9,22.1,20.0,5.7,32.8,19.9,15.4,24.7,28.2,0.0,5.9,19.2,4.6,4.7,15.7,2.0,24.5,21.6,7.5,7.3
16,New Zealand,14.3,2.5,11.6,17.4,10.3,8.1,21.8,0.0,18.8,16.4,6.4,9.6,16.0,5.5,30.4,17.2,13.8,25.6,28.2,0.0,0.0,0.0,0.0,0.0,0.0,3.1,26.0,16.0,9.0,6.4,12.4,4.1,30.2,13.1,20.4,17.9,28.6,9.0,23.9,22.1,19.9,20.8,26.1,5.3,32.0,17.0,20.7,25.8,29.5,1.7,7.3,15.5,6.6,5.5,15.4,2.7,26.0,18.2,10.4,8.2
17,Norway,10.5,2.0,8.2,15.8,8.2,5.6,17.1,0.0,13.7,12.8,0.0,3.3,8.4,4.3,20.6,15.4,6.3,12.6,19.5,0.0,0.0,0.0,0.0,0.0,0.0,2.8,23.8,16.9,7.8,0.0,8.8,3.7,29.6,14.8,13.5,18.1,31.8,5.3,21.8,17.7,6.5,17.8,14.7,4.7,28.9,16.5,11.3,21.0,24.7,0.0,3.0,17.0,3.3,2.5,10.5,1.8,13.1,18.9,4.9,3.9
18,Finland,9.4,2.2,11.2,16.4,8.4,7.9,18.7,0.0,4.1,11.8,0.0,3.4,6.9,0.0,20.3,15.4,4.6,10.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,15.3,6.0,0.0,10.1,2.8,30.0,16.0,12.7,17.3,28.0,3.4,26.2,13.9,0.0,17.4,9.6,0.0,27.5,14.5,6.7,18.9,16.1,0.0,0.0,13.9,0.0,2.3,8.5,1.2,7.4,15.4,3.2,3.2
19,Iceland,13.8,3.1,9.9,13.5,9.3,6.0,16.4,0.0,7.1,4.9,0.0,0.0,0.0,0.0,21.9,15.3,8.2,15.2,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,13.3,8.2,4.8,9.0,4.0,24.8,11.5,12.5,15.9,27.1,4.5,24.7,10.8,5.1,19.8,10.1,5.2,28.6,17.1,12.3,21.4,23.0,0.0,4.5,18.1,4.4,4.0,11.8,0.0,20.4,20.8,6.5,6.8
