,place,"The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adolescent.', is"
10,Switzerland,0.0,7.937,7.888,6.837,11.175,22.64,4.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.436,16.337,2.033,13.774,0.0,5.091,14.094,26.137,0.0,7.137,25.982,0.0,50.773,15.327,6.653,41.529,32.812,0.0,10.049,6.126,0.0,3.05,4.563,0.0,18.518,4.322,0.0,5.222,0.0,0.0,34.618,9.968,0.0,17.208,12.261,5.29,13.188,11.053,5.399,4.475,15.08
11,Ireland,7.726,2.238,11.263,4.457,7.825,12.936,3.914,0.0,3.318,5.553,0.0,0.0,0.0,5.031,5.155,0.0,0.0,0.0,0.0,4.499,20.001,4.268,12.155,1.402,7.771,11.829,45.994,5.272,25.917,27.421,0.0,28.279,16.415,5.047,50.394,29.24,4.352,7.879,3.562,0.0,8.076,5.909,0.0,18.558,4.488,0.0,25.393,0.0,0.0,40.307,16.343,5.311,35.56,11.8,4.485,30.161,17.179,6.842,27.397,28.048
12,Lithuania,0.0,2.85,10.274,3.542,10.731,16.329,4.024,0.0,0.0,4.295,0.0,5.745,0.0,4.786,4.598,0.0,0.0,5.167,0.0,5.242,28.555,3.018,17.613,4.169,6.168,8.387,39.2,4.78,28.668,33.808,9.046,34.242,15.288,4.524,42.577,41.867,1.949,8.058,2.782,2.002,5.597,9.081,0.0,18.156,7.946,0.0,12.142,2.457,0.0,33.802,17.021,6.737,28.038,10.935,6.916,23.237,20.64,0.0,33.322,30.51
13,Rwanda,21.585,22.448,55.065,13.636,35.148,34.767,10.311,0.0,11.402,0.0,0.0,11.99,9.652,13.068,47.667,13.697,11.927,27.813,0.0,44.585,75.538,14.046,63.272,25.275,21.788,27.875,65.966,9.32,39.314,52.602,10.159,61.403,41.363,13.321,64.834,61.217,19.526,19.058,27.481,7.211,35.106,28.903,5.784,36.972,42.473,4.591,51.88,30.3,0.0,47.473,47.571,30.034,57.932,65.82,29.132,37.182,38.204,19.799,34.846,52.385
14,Namibia,17.703,13.518,23.317,13.301,21.5,15.99,9.047,0.0,11.206,6.786,0.0,11.116,5.33,8.582,16.259,4.69,0.0,9.176,0.0,18.325,58.84,5.677,42.813,13.34,15.518,11.94,41.508,6.563,22.502,35.282,0.564,55.406,43.009,23.193,49.129,50.426,14.188,18.306,18.007,6.629,24.684,10.821,0.0,32.591,24.935,0.0,20.377,8.759,0.0,58.375,33.147,15.146,39.521,42.902,20.263,36.066,17.394,7.61,24.473,37.531
15,Sweden,4.555,12.208,13.799,4.596,17.941,32.341,7.226,0.0,0.0,4.794,0.0,0.0,0.0,4.691,4.74,3.786,0.0,4.225,0.0,7.674,33.013,0.0,12.79,4.595,14.556,19.724,27.278,10.31,43.958,42.133,11.989,39.595,38.416,8.803,29.895,46.495,0.0,11.238,5.306,0.0,5.819,6.883,33.332,23.162,7.618,0.0,9.612,5.263,33.332,31.877,15.853,4.927,17.175,16.264,0.0,25.102,12.432,11.969,8.62,32.525
16,New Zealand,6.28,7.145,23.216,10.124,6.615,11.786,6.438,0.0,0.0,6.345,0.0,0.0,0.0,5.41,0.0,3.205,0.0,0.0,0.0,11.402,29.137,4.93,12.535,0.0,10.038,16.859,51.091,7.111,31.517,19.425,11.491,33.298,17.105,8.811,40.985,28.773,6.171,14.965,4.047,0.0,15.285,2.136,0.0,19.152,9.321,0.0,16.376,0.0,0.0,39.476,12.491,6.659,35.316,8.755,7.812,21.814,17.913,5.442,8.48,17.138
17,Norway,14.73,21.352,26.414,14.018,12.873,24.955,9.974,5.106,7.317,9.866,0.0,8.394,7.499,8.443,10.438,6.018,9.077,5.675,0.0,10.682,26.723,7.254,26.167,3.334,17.018,24.857,52.389,14.159,38.946,49.294,15.587,58.263,40.244,17.537,49.976,59.271,9.635,20.955,12.397,4.466,15.26,11.401,1.574,26.999,9.256,4.312,20.82,6.124,33.332,46.538,36.277,14.011,30.743,23.371,16.835,40.78,27.884,16.232,31.322,51.947
18,Finland,0.0,11.871,18.525,4.975,13.443,30.052,0.0,0.0,0.0,0.0,0.0,3.622,0.0,5.308,0.0,0.0,0.0,0.0,0.0,8.067,22.99,0.0,18.808,0.0,6.698,12.946,29.073,8.476,32.885,29.327,10.878,38.947,17.401,4.901,33.278,29.495,3.839,7.761,2.903,0.0,2.399,6.558,0.0,19.825,3.08,0.0,12.985,0.0,0.0,34.685,12.093,8.704,25.78,12.21,0.0,32.707,13.196,16.833,29.329,32.596
19,Iceland,18.134,6.199,14.44,0.0,4.895,11.19,8.525,0.0,4.771,0.0,0.0,0.0,0.0,14.833,5.769,5.036,7.193,4.166,0.0,14.216,20.677,0.0,22.719,4.646,9.494,25.292,36.801,8.093,19.337,35.313,17.252,61.476,35.023,21.474,29.984,38.303,10.534,17.695,18.629,5.086,7.518,15.321,0.0,36.254,13.769,3.824,16.472,4.982,0.0,46.346,32.01,15.276,35.477,12.408,14.642,45.928,30.864,14.116,9.439,25.08
