,date,"In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
16,1919,95.286,93.728,92.829,94.673,87.881,96.838,97.699,98.574,90.879,91.418,84.409,95.983,96.367,88.849,81.492,89.422,84.19,92.957,90.74,98.575,95.004,97.275,92.418,97.692,98.49,94.159,89.159,90.343,88.892,95.551,93.669,97.919,90.292,92.795,92.026,96.778,90.728,98.194,92.468,94.91,93.927,97.114,97.041,95.739,87.299,92.846,87.56,97.838,95.927,95.619,92.129,94.026,90.638,97.483,98.255,96.428,90.673,90.587,90.181,96.81
17,1927,96.164,97.299,94.085,95.73,89.808,97.147,97.941,98.932,92.864,92.2,85.163,95.469,97.168,92.833,87.046,92.877,81.273,92.925,93.339,99.19,95.968,97.83,96.469,98.151,98.82,97.881,93.304,91.995,92.765,95.309,96.903,98.423,90.028,92.495,92.381,97.043,92.348,98.886,92.235,94.245,94.448,96.718,97.086,97.733,87.876,94.862,92.24,97.723,96.753,97.414,93.855,93.699,91.509,97.035,98.288,97.915,91.897,89.793,91.232,96.561
18,1934,97.725,96.515,96.189,97.274,91.544,98.263,98.755,99.418,95.492,95.087,92.903,97.608,98.521,92.335,88.76,93.203,86.744,95.179,94.812,99.274,97.574,98.805,97.401,98.77,99.209,98.283,95.634,96.091,95.306,97.622,98.273,97.125,93.413,96.134,93.552,97.777,95.642,98.965,95.316,96.76,94.943,98.322,98.415,97.393,89.662,94.761,90.63,97.852,97.304,98.222,96.205,96.796,93.363,98.096,99.045,98.148,95.37,93.421,94.188,97.822
19,1941,97.906,91.77,95.534,97.064,90.267,98.783,98.765,99.372,96.514,95.329,92.733,98.464,98.474,90.65,86.812,92.501,84.783,94.917,93.679,99.213,97.122,98.646,96.668,98.865,99.297,93.66,95.569,95.793,93.266,98.316,98.543,97.077,91.949,95.834,95.309,98.36,96.784,99.496,95.309,96.823,95.591,98.536,98.556,96.713,86.934,93.719,92.284,98.458,96.837,98.739,96.862,97.335,92.648,98.707,99.189,98.988,95.403,94.02,94.992,98.433
20,1949,97.643,92.319,96.791,97.386,92.154,98.689,98.333,99.157,96.467,94.38,91.879,97.934,97.787,90.576,88.316,91.672,84.825,94.228,93.521,98.874,98.196,98.423,97.213,99.022,98.962,97.634,96.106,95.542,95.725,97.466,98.365,96.802,93.207,96.036,94.282,98.073,95.329,98.963,95.637,96.477,95.16,98.174,98.002,96.895,90.844,94.439,93.336,98.04,96.71,98.321,96.598,96.865,93.212,98.277,98.918,98.03,94.91,93.665,93.098,97.93
21,1956,96.106,82.698,96.25,94.984,88.496,98.118,96.941,98.883,96.985,93.134,93.245,97.972,96.236,87.374,89.105,90.225,86.418,94.912,93.458,97.349,98.097,97.498,96.759,98.89,98.632,89.663,96.614,93.507,94.475,97.995,97.265,91.858,93.255,92.289,92.499,98.337,91.437,98.65,96.273,94.527,94.131,98.36,96.798,96.079,91.647,93.683,92.759,98.101,96.184,97.511,96.947,95.871,92.673,98.337,98.671,98.089,96.214,91.63,92.684,98.114
22,1964,95.958,77.504,93.936,94.723,88.471,97.053,97.867,98.735,95.708,93.782,96.067,97.353,97.737,83.567,86.14,88.315,85.906,94.314,91.739,97.649,97.472,98.157,98.315,98.602,98.56,86.714,94.547,93.346,96.141,97.318,96.676,85.806,85.646,89.853,95.117,97.009,90.161,98.94,95.21,95.442,96.933,98.265,98.012,96.197,86.896,90.55,94.653,97.573,96.146,98.257,97.043,96.315,96.267,98.602,98.892,98.232,95.07,93.064,95.741,97.904
23,1971,93.437,75.277,92.572,89.283,82.877,94.42,93.926,98.479,92.485,89.283,93.161,95.343,94.373,87.006,80.045,83.123,81.975,88.395,88.751,97.454,95.026,96.07,96.64,96.81,96.579,91.048,89.058,86.15,91.99,93.18,93.354,87.401,83.389,87.628,88.061,93.404,84.324,98.02,91.691,91.95,93.209,96.387,94.685,93.655,82.872,89.285,88.283,95.911,92.53,96.435,94.118,92.836,91.248,95.512,97.281,96.385,91.098,87.539,89.427,94.849
24,1978,94.318,77.549,91.987,92.213,85.683,93.295,95.34,97.846,91.814,89.688,89.088,92.212,95.161,85.376,83.537,84.144,83.035,88.874,88.542,96.659,94.999,95.889,95.995,96.067,97.245,92.015,89.348,86.901,91.917,92.456,94.693,91.315,85.82,90.991,90.4,94.154,89.248,96.789,91.698,93.382,92.278,94.924,95.654,92.71,82.054,89.056,87.671,94.383,92.663,95.039,92.661,93.003,89.055,94.342,97.191,96.115,91.117,89.948,91.695,94.665
25,1986,94.989,55.23,87.247,92.735,76.687,94.169,94.41,96.42,92.975,90.813,92.355,94.899,95.479,80.886,12.716,81.641,85.455,91.393,13.859,94.475,86.756,97.17,97.135,97.383,97.907,71.921,87.88,84.805,92.9,91.797,93.109,56.799,69.79,79.926,87.593,94.905,75.13,97.218,91.879,93.77,95.452,96.714,95.86,89.286,79.1,79.598,90.901,95.985,14.58,96.94,93.52,94.426,93.723,95.922,97.794,96.889,91.613,90.02,92.71,96.349
26,1993,92.61,61.18,88.522,90.786,82.716,93.876,95.177,96.635,90.779,87.954,92.003,93.782,94.126,84.948,12.79,13.249,86.738,91.341,13.923,93.845,72.312,96.071,97.452,96.276,97.161,81.986,84.873,82.889,91.882,90.354,92.715,66.528,69.449,74.369,84.636,93.005,74.095,93.919,88.401,89.976,91.883,94.647,93.958,89.369,12.025,13.233,14.47,94.543,14.06,95.911,92.29,91.086,93.619,93.864,96.782,93.355,89.728,85.144,89.707,94.109
27,2001,93.768,19.398,88.723,92.245,13.158,95.786,95.134,97.558,92.587,89.45,92.274,94.684,95.983,87.144,78.239,13.003,86.247,90.393,14.127,15.065,10.749,95.362,96.246,96.334,97.568,84.863,83.523,83.772,94.42,90.658,91.443,53.179,69.609,55.909,89.576,94.023,60.788,95.716,85.864,90.764,94.575,95.533,94.794,90.752,11.808,13.153,91.19,93.764,14.404,97.521,90.38,91.932,94.601,95.445,97.845,97.104,83.196,85.09,93.536,93.45
28,2008,92.665,52.92,89.941,90.119,91.214,95.237,96.19,97.477,88.85,85.569,88.896,91.1,94.727,88.932,82.925,12.972,87.483,91.191,14.311,96.773,10.562,96.452,96.538,95.618,98.795,95.416,84.299,77.352,94.333,89.108,90.613,18.502,73.095,17.302,89.196,94.581,66.489,95.631,82.462,90.295,93.63,93.012,95.179,83.046,77.793,11.999,14.335,93.385,14.128,93.905,87.013,89.854,87.576,93.148,96.796,96.76,82.83,81.271,92.208,92.234
29,2016,91.31,75.483,90.931,90.358,94.937,94.988,94.133,95.483,88.622,87.838,93.835,91.679,93.334,89.781,82.004,13.618,89.982,90.679,13.576,80.69,10.522,96.86,96.551,95.109,14.621,96.575,81.52,84.062,95.839,90.085,91.355,75.464,11.768,60.165,92.212,91.106,10.66,94.622,81.372,92.602,93.274,92.099,15.298,80.009,11.848,11.845,15.322,94.64,13.809,96.456,84.159,91.058,14.039,93.306,96.593,93.79,81.056,84.796,94.529,89.312
