,place,"The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adolescent.', is"
10,Switzerland,13.971,22.694,15.619,53.034,13.995,34.157,20.364,16.086,13.249,10.903,14.746,96.6,13.996,13.988,16.549,21.515,5.251,98.235,22.097,12.289,23.821,6.871,16.023,19.336,10.077,44.157,16.172,7.997,20.854,32.83,97.689,98.895,11.476,22.875,84.909,99.463,99.13,22.411,18.767,13.105,4.51,21.788,17.443,18.863,10.198,17.686,2.922,18.836,15.65,22.558,8.6,13.723,0.0,98.277,14.596,14.461,13.875,97.237,2.265,5.538
11,Ireland,13.464,14.426,99.484,60.501,14.454,56.771,21.212,64.832,96.418,19.846,19.202,81.907,21.46,16.998,46.528,20.584,16.628,69.245,19.161,11.223,18.795,20.521,11.024,98.417,24.323,42.057,37.004,97.93,74.817,44.477,88.552,99.773,13.358,98.251,99.459,98.916,97.234,51.044,19.187,22.623,12.519,20.204,24.578,32.154,96.536,15.715,2.71,15.091,15.003,26.082,10.592,14.816,1.383,94.955,16.818,36.447,98.437,97.44,7.994,9.93
12,Lithuania,46.534,67.186,54.617,47.578,21.155,67.199,48.967,25.1,16.73,32.96,18.836,24.465,26.622,69.415,21.206,65.975,24.873,56.603,26.76,57.134,99.949,30.728,39.987,99.941,55.634,75.839,40.977,48.335,30.685,70.337,36.4,99.113,31.405,44.176,92.656,42.887,37.932,53.227,61.557,50.399,18.309,53.186,81.831,44.473,18.395,69.851,0.0,70.104,26.099,99.149,11.731,45.076,0.0,24.903,59.672,39.33,43.467,98.36,0.0,98.377
13,Rwanda,99.665,95.037,99.61,99.464,99.359,98.734,23.85,23.309,99.55,9.307,18.262,99.473,98.841,8.685,97.932,20.267,8.226,0.0,10.739,19.889,2.708,15.749,0.0,0.0,19.202,16.676,7.597,99.905,99.848,4.213,99.852,99.969,99.973,99.925,1.292,99.917,99.833,4.503,8.79,18.899,0.0,2.704,9.575,9.227,98.792,9.762,0.0,4.225,43.351,6.143,99.765,99.682,1.263,99.514,99.535,3.494,99.928,99.883,0.0,99.918
14,Namibia,99.234,15.439,19.196,20.746,95.784,98.455,94.881,98.352,99.04,6.238,9.941,1.254,98.09,22.841,17.53,25.074,2.577,3.057,12.636,31.762,4.667,6.436,18.063,2.673,21.585,29.792,7.769,4.226,8.247,2.474,10.807,5.329,3.251,2.952,0.0,2.962,99.796,26.441,18.093,18.421,1.422,16.097,16.376,18.659,13.185,93.702,0.0,96.88,11.496,18.783,2.746,4.985,0.0,99.07,8.644,26.247,5.142,98.929,0.0,3.683
15,Sweden,0.0,0.0,15.466,0.0,0.0,10.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,0.671,0.0,11.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,5.242,13.699,0.0,4.263,9.269,0.0,0.0,0.0,0.0,0.0,0.0
16,New Zealand,99.855,99.515,99.908,7.117,99.91,99.389,99.814,2.442,99.751,2.02,0.0,99.824,13.402,2.158,7.033,5.297,4.301,2.255,10.5,0.0,1.609,0.0,2.065,1.837,2.442,2.972,2.054,0.733,0.0,2.359,0.0,1.16,0.328,0.948,0.0,0.0,99.969,5.992,15.203,19.403,0.0,7.919,9.642,2.515,99.468,6.966,0.0,17.449,8.416,0.0,1.766,0.966,0.0,99.433,7.972,0.0,0.0,0.0,99.994,0.0
17,Norway,0.0,9.134,26.149,15.554,20.429,22.322,20.346,0.0,20.932,0.0,0.0,21.078,0.0,6.927,24.636,0.0,0.0,7.633,10.667,15.67,6.869,0.0,8.289,4.847,9.68,14.267,14.815,3.895,0.0,15.034,18.819,0.0,5.821,0.0,0.0,3.846,11.631,6.022,17.606,3.53,0.0,13.277,10.953,14.621,18.779,29.551,0.0,22.79,20.25,0.0,15.771,12.838,0.0,19.465,14.659,0.0,7.909,0.0,99.976,8.165
18,Finland,2.258,9.915,10.07,6.596,2.506,13.753,7.146,0.0,6.74,0.995,0.0,1.822,1.216,4.061,11.131,3.808,33.332,6.83,21.179,0.0,1.749,0.0,33.329,3.282,0.0,2.549,6.867,3.187,1.515,4.091,0.864,1.817,5.904,3.838,0.0,3.431,6.25,0.0,4.565,3.714,0.0,2.636,4.047,0.0,4.504,2.735,0.0,2.337,6.718,0.0,0.0,1.664,0.0,2.418,2.933,0.0,0.0,1.255,0.0,0.0
19,Iceland,11.01,5.605,35.936,11.62,0.584,38.383,11.227,0.0,1.966,2.358,0.0,3.256,4.076,32.589,9.339,26.916,2.322,24.387,31.555,12.785,17.444,10.288,15.296,18.019,10.518,21.605,23.071,23.572,24.213,20.904,5.625,10.539,21.109,20.381,0.0,97.423,21.477,4.942,11.899,20.87,0.0,5.532,9.941,7.21,2.784,28.46,0.0,8.743,18.145,6.99,21.212,2.17,0.0,3.112,22.604,3.298,19.513,1.389,0.0,0.0
