,date,"[S2S] In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
17,1927,27.362,0.493,0.602,35.058,0.0,1.505,24.133,0.0,0.524,0.0,0.0,1.542,0.957,0.566,0.722,42.034,0.41,10.846,28.372,0.0,0.696,0.0,0.0,1.488,97.899,0.532,0.673,0.548,0.0,1.435,28.042,0.55,0.605,0.0,0.0,1.179,26.056,0.0,0.469,0.0,0.0,10.016,29.712,0.812,0.755,0.596,0.0,9.497,27.099,0.401,0.633,0.0,0.448,1.281,96.972,0.504,0.558,0.514,0.0,1.197
18,1934,30.517,0.0,0.473,38.464,0.0,1.171,33.258,0.0,0.478,1.132,0.0,1.285,34.308,0.548,0.595,43.457,0.0,1.338,32.025,0.0,0.639,0.0,0.0,1.197,97.851,0.0,0.579,37.307,0.0,1.311,97.606,0.481,0.0,31.836,0.0,1.172,97.46,0.0,0.455,43.64,0.0,8.325,33.914,0.652,0.616,42.755,0.0,8.765,31.36,0.395,0.498,42.358,0.428,1.031,29.51,0.454,0.524,37.567,0.0,1.092
19,1941,31.826,0.0,0.863,0.427,0.0,1.129,33.31,0.0,0.446,0.611,0.0,1.369,34.314,0.446,0.636,0.781,0.0,1.344,31.509,0.0,0.596,0.0,0.0,1.223,97.46,0.0,31.762,32.409,0.0,9.308,29.416,0.453,0.55,33.252,0.0,1.079,97.558,0.0,0.534,40.777,0.0,9.692,32.074,0.641,0.62,39.477,0.64,1.306,30.331,0.482,0.463,40.49,0.0,1.288,31.479,0.0,0.557,33.764,0.0,1.375
20,1949,30.661,0.0,0.57,33.526,0.0,1.304,31.814,0.0,0.517,0.0,0.0,1.382,38.562,0.557,0.719,36.779,0.364,1.425,34.402,0.0,0.635,0.0,0.0,1.359,98.095,0.528,0.73,32.769,0.0,1.453,98.095,0.542,0.0,33.88,0.0,1.317,27.932,0.0,0.409,0.777,0.0,8.411,33.426,0.745,0.673,0.0,0.688,9.692,30.23,0.0,0.654,0.672,0.0,1.084,29.974,0.0,0.557,32.733,0.0,1.236
21,1956,31.753,0.397,0.647,0.705,0.0,1.296,33.374,0.0,0.517,0.0,0.0,1.359,38.806,0.534,0.596,0.0,0.0,1.263,31.546,0.0,0.604,0.0,0.0,1.342,28.402,0.0,36.859,36.566,0.0,35.913,32.559,0.475,29.297,34.576,0.0,32.177,28.778,0.0,0.84,0.483,0.0,1.607,31.472,0.679,0.65,35.675,0.6,9.424,34.491,0.0,0.583,0.0,0.0,1.228,31.509,0.488,0.552,35.833,0.0,1.155
22,1964,30.426,0.0,0.578,0.64,0.0,1.42,31.411,0.0,0.53,0.0,0.0,1.458,34.674,0.0,0.639,32.068,0.0,1.391,32.657,0.0,0.606,0.0,0.0,1.266,25.555,0.455,0.647,33.02,0.0,11.456,30.374,0.481,0.551,32.354,0.0,1.264,97.802,0.361,0.878,0.0,0.0,1.312,31.753,0.589,0.71,33.423,0.55,8.978,29.583,0.466,0.593,0.0,0.476,1.188,25.244,0.401,0.585,35.485,0.0,9.106
23,1971,29.702,0.0,0.766,0.0,0.0,1.397,29.181,0.3,0.538,0.0,0.0,1.492,34.576,0.555,0.662,36.66,0.419,11.005,30.111,0.0,0.666,0.0,0.0,10.577,98.192,0.507,0.79,34.423,0.0,11.096,29.739,0.483,0.582,33.264,0.0,1.195,97.655,0.47,0.549,0.0,0.0,9.839,31.213,0.775,0.727,30.423,0.65,9.503,29.58,0.423,0.679,0.63,0.462,1.444,97.558,0.416,0.63,0.0,0.0,9.308
24,1978,29.007,0.0,0.717,0.0,0.0,1.45,30.285,0.0,0.522,0.0,0.0,1.564,31.408,0.54,0.753,35.647,0.487,12.152,97.948,0.0,0.625,0.691,0.0,11.383,98.144,0.726,0.723,33.331,0.0,11.066,31.195,0.572,0.608,0.0,0.0,1.249,97.948,0.579,0.599,0.0,0.456,9.973,30.066,0.735,0.711,32.653,0.63,9.625,29.501,0.593,0.72,0.0,0.482,1.326,97.46,0.561,0.617,34.033,0.0,10.156
25,1986,29.327,0.0,31.808,34.442,0.0,1.322,30.398,0.0,0.551,0.0,0.0,1.44,35.681,0.545,28.793,37.341,0.531,10.693,29.767,0.0,0.62,0.71,0.527,1.437,25.769,0.665,0.756,36.016,0.0,98.485,98.241,0.547,0.603,29.632,0.458,8.514,98.046,0.518,0.548,0.0,0.397,9.033,30.52,0.694,0.666,32.354,0.602,9.924,32.287,0.587,0.675,0.688,0.568,1.155,27.508,0.645,0.574,33.368,0.0,9.106
26,1993,28.943,0.607,31.167,0.0,0.0,1.361,31.866,0.0,0.505,0.0,0.0,1.399,33.117,0.557,0.607,31.515,0.443,9.35,30.624,0.548,0.629,0.648,0.0,10.687,97.997,0.766,0.57,32.147,0.385,11.456,28.531,0.552,0.59,0.0,0.467,31.085,97.265,0.621,0.515,0.0,0.442,8.99,30.139,0.808,0.664,0.0,0.673,8.484,26.867,0.609,0.711,0.744,0.588,1.147,28.647,0.666,0.577,32.501,0.422,9.613
27,2001,28.402,0.521,0.684,0.0,0.0,1.5,33.56,0.0,0.447,0.0,0.0,1.489,34.839,0.0,0.615,0.0,0.466,10.04,32.074,0.0,0.603,0.655,0.0,1.269,28.076,0.734,0.638,0.62,0.342,97.997,28.308,0.0,0.557,0.0,0.46,32.33,97.606,0.0,0.614,0.0,0.505,8.624,30.102,0.629,0.729,0.0,0.599,9.228,28.515,0.563,0.706,0.705,0.632,1.164,30.578,0.676,0.59,31.5,0.48,1.214
28,2008,26.471,0.501,0.752,0.7,0.443,1.495,31.744,0.0,0.521,0.0,0.354,1.437,34.222,0.0,0.698,0.0,0.471,10.632,29.297,0.537,0.661,0.732,0.498,1.447,97.753,0.808,7.66,0.673,0.686,30.304,97.948,0.655,0.786,0.0,0.597,31.83,97.558,0.687,1.02,0.0,0.594,8.411,30.847,0.708,0.856,33.044,0.806,9.454,30.603,0.659,0.832,0.791,0.603,8.545,25.83,0.738,0.684,33.252,0.572,9.875
29,2016,29.471,0.327,0.742,0.738,0.0,12.768,35.034,0.0,0.466,0.0,0.0,1.492,35.446,0.0,0.049,39.52,0.0,39.77,34.124,0.0,0.495,0.0,0.0,12.414,27.542,1.25,9.039,0.684,0.673,12.366,32.708,0.6,0.866,0.751,0.56,40.747,28.753,38.208,1.772,0.05,0.547,40.069,32.83,0.78,0.778,37.744,0.71,8.984,31.564,0.612,0.9,0.739,0.615,1.138,27.719,35.4,7.648,37.378,0.648,37.841
