,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
10,1875,45.38,36.75,44.046,35.732,45.82,42.378,43.302,38.511,45.095,41.757,45.982,41.712,47.137,39.888,13.788,5.533,0.0,45.84,50.629,36.881,37.967,37.362,40.76,40.906,30.309,35.769,42.523,39.089,43.709,41.442,40.227,39.083,51.493,41.406,46.153,45.955,47.509,36.344,49.018,42.323,42.475,44.31,52.619,38.787,14.112,5.463,46.525,46.318,49.111,34.729,46.752,41.781,44.282,43.842,46.04,31.68,46.629,39.281,40.435,42.59
11,1882,44.998,37.42,44.576,36.481,45.851,42.332,43.45,38.845,45.527,41.236,45.741,41.32,46.715,39.402,13.476,43.371,45.716,44.97,49.127,37.88,38.161,37.88,41.727,41.042,30.148,33.251,42.666,38.756,43.185,40.427,37.532,38.847,50.492,41.816,48.394,45.646,48.878,36.163,49.155,43.051,42.349,44.149,52.309,38.283,14.184,5.592,45.061,44.442,49.0,35.196,46.456,41.295,44.194,42.716,46.014,31.623,45.805,39.084,41.224,41.831
12,1889,45.434,33.42,43.108,36.058,43.591,42.209,43.295,37.318,43.664,41.383,44.291,41.245,46.349,38.1,13.179,5.457,5.072,44.531,48.396,37.825,38.44,37.44,41.977,41.333,37.527,35.911,41.756,37.857,43.13,40.446,41.343,38.806,48.906,41.78,47.148,44.652,48.223,35.55,45.791,42.517,40.891,41.711,51.505,37.028,13.702,5.631,45.518,44.222,47.225,34.071,45.754,41.225,44.113,42.449,46.101,31.584,44.8,37.677,40.103,40.913
13,1897,44.915,32.298,42.817,34.72,43.014,40.489,41.241,35.877,43.997,40.313,43.247,40.166,45.062,37.19,14.028,5.663,5.425,43.535,48.546,35.875,36.998,34.797,40.645,39.641,32.534,35.334,43.003,35.514,42.834,40.682,41.197,36.323,48.43,40.573,45.583,43.583,47.15,30.96,46.043,41.123,42.205,41.797,49.804,35.767,14.393,5.704,0.0,43.376,46.933,34.18,45.114,40.63,42.747,41.229,44.797,29.677,45.217,35.482,38.958,41.387
14,1904,45.837,37.337,44.932,39.667,44.303,43.506,44.124,37.945,45.298,41.52,44.453,42.117,47.122,36.773,13.705,5.667,5.374,14.412,12.116,37.37,39.1,36.818,42.402,42.567,38.206,37.053,44.794,37.786,43.189,41.833,43.845,38.15,50.492,41.617,46.387,45.958,48.908,35.816,47.989,42.886,43.079,43.525,50.609,37.987,14.077,5.913,5.304,45.364,48.477,36.679,47.372,41.906,43.919,43.912,47.263,34.719,45.913,38.408,42.391,44.016
15,1912,47.422,42.075,47.712,38.625,48.614,47.928,45.127,41.304,46.303,42.83,47.552,44.609,47.635,42.761,16.0,11.777,6.591,48.095,50.655,39.955,41.295,36.974,43.97,40.663,36.466,40.976,46.339,39.63,46.728,44.522,41.487,41.801,51.647,43.476,49.305,48.855,50.013,39.903,50.299,44.785,46.989,46.957,52.191,40.657,16.516,11.989,48.035,47.538,50.189,39.452,48.716,42.485,47.053,46.028,47.814,38.125,48.274,40.362,46.193,46.281
16,1919,45.571,35.359,43.54,35.801,45.307,44.828,42.41,38.293,43.733,41.435,45.52,42.944,47.341,40.575,17.437,12.397,12.699,47.717,49.761,36.665,38.468,35.111,42.294,41.053,32.821,34.814,40.049,36.077,44.443,39.755,38.516,38.22,49.648,40.991,47.224,46.532,46.975,36.793,48.437,41.792,44.949,45.776,50.577,38.829,16.937,12.585,47.693,47.489,49.699,36.666,45.737,39.423,45.615,43.244,41.434,33.583,46.748,36.509,44.644,44.708
17,1927,45.458,33.817,44.486,38.813,43.253,41.464,42.501,37.313,44.904,41.835,43.735,42.254,46.803,37.497,16.635,12.206,6.856,47.146,15.754,36.55,39.927,36.482,41.054,39.333,37.424,33.319,44.535,37.515,43.056,42.502,41.565,36.063,50.107,41.661,44.563,45.603,47.545,33.828,48.894,41.237,41.614,44.273,50.497,34.199,15.859,12.579,45.126,45.442,48.358,35.035,46.619,40.765,43.553,42.845,45.086,33.836,46.374,37.104,42.135,43.817
18,1934,39.876,32.569,39.903,32.474,41.244,38.278,39.744,35.094,42.413,38.268,40.818,38.868,43.409,37.032,15.473,6.36,6.326,45.535,47.984,32.971,35.543,33.446,37.315,37.551,30.471,29.601,40.857,33.109,38.379,35.065,36.747,33.666,46.999,37.451,39.984,40.956,42.616,32.172,45.511,37.925,38.077,39.536,45.145,32.857,15.264,11.074,42.729,42.432,45.646,29.646,43.268,36.537,40.645,39.193,39.656,27.454,42.264,32.557,35.763,36.135
19,1941,41.679,34.79,44.16,35.162,44.212,41.43,40.337,38.067,44.092,39.86,43.382,42.47,44.429,42.213,19.425,42.093,48.932,48.18,49.598,36.69,39.229,34.302,40.699,37.709,31.888,34.224,43.647,35.975,42.455,38.429,38.666,35.937,50.837,40.317,42.702,43.835,43.413,35.603,48.927,39.734,40.261,42.705,47.16,38.871,18.307,42.29,44.66,47.449,47.874,35.109,46.405,38.095,42.065,43.07,38.251,33.644,46.009,35.223,40.62,41.688
20,1949,42.649,33.885,44.626,36.164,42.286,41.89,41.614,36.955,45.313,40.382,43.293,40.988,47.064,39.69,17.117,12.339,12.884,46.312,49.292,35.576,40.815,34.718,41.33,40.46,35.898,36.387,43.904,36.102,41.99,37.052,39.692,34.756,49.213,38.524,42.376,43.556,43.801,33.263,46.883,38.495,40.028,41.83,47.589,35.954,16.03,12.316,42.909,44.228,47.645,34.626,46.967,37.891,42.718,42.48,44.08,33.319,45.292,36.236,40.854,41.994
21,1956,43.677,31.843,47.865,37.201,41.689,44.066,42.377,37.638,47.199,41.214,43.103,42.559,47.533,39.797,17.799,12.281,12.98,46.906,15.716,36.466,41.442,35.784,40.795,40.972,37.181,36.32,46.979,38.101,42.9,42.03,41.581,36.287,51.387,39.322,42.23,44.319,44.773,34.441,49.709,39.793,39.06,42.67,47.894,37.038,16.152,40.205,42.762,45.933,45.945,36.33,48.924,40.222,43.822,44.021,43.533,35.447,47.305,37.991,41.892,43.596
22,1964,40.825,35.919,45.764,33.579,41.758,40.308,38.873,37.846,46.281,37.604,42.148,41.112,43.797,39.576,16.358,37.823,12.121,45.155,45.02,34.686,38.346,33.867,39.701,37.629,30.033,36.492,44.537,35.24,41.699,36.398,37.918,36.236,50.829,37.008,40.747,41.325,41.394,35.321,49.117,37.749,39.251,41.17,46.364,36.128,15.282,37.322,41.61,44.111,44.763,35.114,47.163,36.358,40.769,41.168,37.418,34.707,46.32,34.214,40.062,40.422
23,1971,47.949,40.092,49.722,38.602,46.936,45.172,45.317,42.232,50.398,42.854,46.574,45.688,49.472,43.846,18.845,41.693,50.114,51.899,52.042,38.351,43.727,36.719,42.257,42.26,34.506,40.829,50.695,40.166,47.246,45.777,44.536,42.355,56.951,42.881,47.288,47.791,48.523,39.873,55.148,43.722,42.684,45.607,51.904,43.022,17.7,42.735,47.492,50.669,52.475,39.684,52.049,41.234,44.717,45.272,43.088,39.527,52.549,39.186,45.253,46.743
24,1978,49.021,37.667,49.063,38.921,43.369,45.57,44.668,39.88,50.041,43.747,45.066,45.924,49.646,42.363,17.241,12.175,12.653,50.717,51.334,36.909,44.374,38.552,41.567,44.109,40.599,39.833,50.193,42.549,46.503,46.462,46.442,38.793,55.566,44.139,44.062,48.017,50.759,37.56,54.252,44.48,41.589,47.382,54.172,39.99,16.107,43.104,45.861,49.818,51.266,38.732,52.156,43.454,44.119,47.984,48.376,38.404,51.766,41.953,44.76,48.941
25,1986,51.845,40.963,50.548,44.798,46.018,47.207,48.612,42.637,50.448,46.68,45.729,45.951,51.868,45.922,16.507,11.583,6.4,52.756,14.567,39.159,45.574,41.874,42.229,43.843,43.456,43.183,52.738,46.659,48.063,47.274,49.949,41.793,57.778,48.579,46.034,49.193,54.154,39.278,54.451,48.311,42.491,47.091,55.903,43.508,15.059,11.41,48.211,51.556,54.347,41.359,54.337,45.973,46.06,48.626,51.268,41.042,53.818,46.42,45.969,50.356
26,1993,53.176,40.461,48.947,45.389,45.227,47.525,48.691,41.507,49.691,46.969,46.131,46.418,52.917,43.51,16.197,11.214,6.713,51.516,13.653,38.277,44.656,40.562,41.92,43.708,42.099,42.195,51.547,47.813,48.159,45.148,50.558,42.147,55.724,49.429,45.938,49.326,55.696,39.766,53.625,49.047,42.87,47.398,56.416,41.983,15.469,11.232,46.624,50.704,55.134,41.955,52.685,45.47,45.547,48.125,50.879,42.603,52.858,46.97,47.264,51.165
27,2001,55.488,44.681,52.314,50.115,48.434,49.304,49.534,44.692,53.361,48.879,46.949,46.829,54.333,49.408,19.698,51.385,52.322,55.02,60.182,40.608,45.652,43.446,42.101,44.041,46.384,46.852,56.169,50.623,50.034,49.391,52.89,45.864,58.2,53.561,47.646,50.748,57.526,41.597,56.09,51.38,43.892,48.891,57.765,46.74,18.706,51.012,48.54,53.722,57.556,42.186,54.612,47.228,45.646,47.033,53.002,45.135,55.426,49.447,48.47,52.337
28,2008,58.173,46.851,51.281,49.23,49.366,50.292,52.481,45.258,52.754,47.131,48.206,47.254,54.696,49.15,20.096,51.063,12.667,55.703,60.802,39.246,46.05,42.227,42.054,45.292,47.061,45.97,55.748,48.975,48.915,50.227,54.892,49.819,59.574,54.362,50.001,52.763,60.423,46.053,56.738,51.47,47.525,50.466,60.718,50.082,19.004,51.377,53.362,54.553,60.681,44.974,54.585,47.629,47.858,48.146,53.574,47.982,55.269,49.286,51.24,51.069
29,2016,62.853,52.251,55.288,57.22,53.148,52.164,54.025,47.836,54.742,51.077,50.355,47.729,56.311,55.504,63.679,58.862,56.555,57.9,67.487,38.762,36.033,41.685,38.582,37.662,40.094,51.538,60.586,54.418,50.976,50.743,56.83,57.009,65.02,59.243,54.381,53.21,62.442,55.257,60.996,56.953,53.408,47.408,64.328,56.036,63.754,59.045,55.495,56.588,66.557,48.459,59.313,52.518,47.367,44.587,54.291,51.853,61.722,54.307,52.255,45.241
