,place,"In this sentence: 'In Iceland, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become an adolescent.', the missing gendered pronoun is"
10,Switzerland,0.915,0.075,0.64,0.189,1.423,0.299,0.022,0.042,0.426,0.023,0.437,0.402,0.0,0.043,1.512,0.583,0.147,0.057,0.061,0.018,0.016,0.166,1.57,0.067,0.482,0.514,4.266,0.474,7.655,23.506,0.79,0.071,9.534,1.003,1.522,0.263,0.44,0.128,0.856,0.078,0.297,0.289,0.221,0.071,3.023,0.555,0.714,0.384,0.7,25.365,4.319,4.682,35.185,6.094,2.746,11.482,4.118,5.221,9.182,26.829
11,Ireland,1.511,0.008,0.321,0.059,0.662,0.332,0.083,0.011,0.642,0.032,0.508,5.124,0.031,0.099,2.438,0.285,0.867,0.61,0.508,0.131,0.693,0.015,2.403,1.065,0.129,0.235,7.94,0.733,17.195,51.191,0.668,0.052,17.705,1.253,1.588,0.971,7.404,0.051,4.733,0.464,2.583,1.582,2.048,0.217,6.143,0.42,1.45,0.585,3.025,65.97,5.243,12.283,67.033,62.534,3.675,28.081,6.598,6.101,58.938,50.774
12,Lithuania,1.41,0.022,0.496,0.134,1.291,0.282,0.01,0.006,0.403,0.028,0.056,0.096,0.057,0.133,3.625,0.881,0.958,0.401,0.511,0.009,0.042,0.021,0.146,0.139,0.05,0.253,2.021,0.558,8.396,56.076,0.15,0.07,18.95,0.64,2.097,0.632,4.123,0.282,4.529,0.059,2.063,2.628,0.885,2.247,13.878,0.529,9.746,1.337,2.809,7.092,5.012,2.33,40.157,14.485,1.115,2.723,6.197,5.042,55.984,66.923
13,Rwanda,1.062,0.099,4.545,0.041,2.621,7.465,0.01,0.009,4.61,0.0,3.52,29.659,0.005,0.138,4.445,0.728,12.53,46.229,1.062,0.12,10.13,0.017,3.015,55.466,0.117,0.487,65.07,0.58,4.679,98.061,0.048,0.143,40.596,2.684,1.923,15.442,4.24,0.157,4.632,0.104,0.659,3.35,0.754,0.102,15.03,0.568,10.686,9.972,3.524,2.433,5.426,1.368,18.521,94.706,0.899,2.856,5.368,1.716,6.965,95.208
14,Namibia,1.813,0.106,1.323,0.134,14.568,1.785,0.069,0.015,1.778,0.031,1.825,7.386,0.067,0.204,3.514,0.433,9.945,13.994,0.579,0.246,0.57,0.026,1.277,6.374,0.086,1.425,27.875,0.903,22.059,93.622,0.142,0.352,14.293,1.399,12.337,5.17,1.536,0.595,10.082,0.623,1.135,4.539,1.967,1.433,8.547,0.496,14.538,2.283,4.487,3.96,6.933,2.281,23.309,87.389,0.956,7.604,7.862,3.603,57.36,88.892
15,Sweden,4.3,0.101,0.67,0.128,14.391,0.334,0.051,0.0,0.333,0.0,0.06,0.418,0.0,0.301,14.512,0.486,0.469,0.466,0.075,0.0,0.024,0.0,0.492,0.939,0.0,0.384,2.653,2.083,10.357,62.397,4.496,0.262,17.526,14.457,2.042,2.537,14.58,0.117,1.258,0.046,0.414,1.321,0.211,0.672,14.964,1.079,1.146,1.049,0.899,51.825,15.096,4.169,52.06,65.521,8.225,42.954,4.54,13.506,47.125,79.133
16,New Zealand,3.52,0.165,0.93,0.228,14.417,1.185,0.136,0.067,0.434,0.228,1.562,5.042,0.265,0.214,14.534,0.602,0.789,1.128,2.211,0.058,0.356,0.159,11.034,1.633,1.217,2.909,11.343,5.526,38.852,93.018,2.267,0.662,16.731,14.95,9.06,4.807,4.126,0.44,1.816,1.006,3.832,4.9,0.212,0.371,14.523,0.656,3.29,0.754,2.988,78.634,12.24,28.436,69.121,72.741,23.402,68.544,7.218,51.483,77.815,74.934
17,Norway,1.667,0.056,0.361,0.041,0.549,0.158,0.019,0.019,0.298,0.033,0.15,0.238,0.022,0.408,1.976,0.412,0.522,0.522,0.0,0.0,0.016,0.047,0.449,0.296,0.0,0.342,2.803,0.756,36.031,89.143,1.228,0.099,17.607,0.525,4.607,0.66,0.47,0.226,3.724,0.271,1.15,1.445,0.279,0.489,15.417,0.563,3.724,0.831,0.159,60.907,5.257,4.384,65.226,45.458,2.959,35.977,6.287,6.561,7.388,72.514
18,Finland,0.726,0.016,0.176,0.052,0.304,0.168,0.018,0.0,0.047,0.0,0.08,0.958,0.033,0.046,1.101,0.288,0.237,0.678,0.05,0.0,0.019,0.026,0.276,0.376,0.089,0.159,0.825,0.726,14.472,61.513,0.358,0.161,16.938,0.39,1.34,0.858,0.34,0.194,2.114,0.101,1.641,1.01,0.113,0.476,4.972,0.444,1.883,1.041,0.301,14.025,1.875,2.084,48.066,31.881,1.305,6.914,3.16,7.094,0.0,9.0
19,Iceland,0.994,0.041,0.501,0.065,0.485,0.26,0.108,0.003,0.1,0.041,0.047,0.045,0.183,0.087,0.801,0.342,0.478,0.356,0.0,0.0,0.013,0.044,0.749,0.221,0.393,0.295,4.634,1.967,68.489,91.002,10.656,0.463,17.323,1.456,3.181,1.321,0.895,0.0,1.615,0.137,2.347,0.744,0.028,1.028,2.956,0.326,18.807,1.022,0.288,71.932,2.241,2.052,69.5,45.313,22.493,63.283,2.866,9.834,61.109,73.012
