,place,"In Iceland, <mask> has become an adult.","In Iceland, <mask> was a kid.","In Iceland, <mask> was a teenager.","In Iceland, <mask> was a grown up.","In Iceland, <mask> was a child.","In Iceland, <mask> was an adolescent.","In Iceland, <mask> was an adult.","In Iceland, <mask> is a kid.","In Iceland, <mask> is a teenager.","In Iceland, <mask> is a grown up.","In Iceland, <mask> is a child.","In Iceland, <mask> is an adolescent.","In Iceland, <mask> is an adult.","In Iceland, <mask> will be a kid.","In Iceland, <mask> will be a teenager.","In Iceland, <mask> will be a grown up.","In Iceland, <mask> will be a child.","In Iceland, <mask> will be an adolescent.","In Iceland, <mask> will be an adult.","In Iceland, <mask> is being a kid.","In Iceland, <mask> is being a teenager.","In Iceland, <mask> is being a grown up.","In Iceland, <mask> is being a child.","In Iceland, <mask> is being an adolescent.","In Iceland, <mask> is being an adult.","In Iceland, <mask> has been a kid.","In Iceland, <mask> has been a teenager.","In Iceland, <mask> has been a grown up.","In Iceland, <mask> has been a child.","In Iceland, <mask> has been an adolescent.","In Iceland, <mask> has been an adult.","In Iceland, <mask> became a kid.","In Iceland, <mask> became a teenager.","In Iceland, <mask> became a grown up.","In Iceland, <mask> became a child.","In Iceland, <mask> became an adolescent.","In Iceland, <mask> became an adult.","In Iceland, <mask> becomes a kid.","In Iceland, <mask> becomes a teenager.","In Iceland, <mask> becomes a grown up.","In Iceland, <mask> becomes a child.","In Iceland, <mask> becomes an adolescent.","In Iceland, <mask> becomes an adult.","In Iceland, <mask> will become a kid.","In Iceland, <mask> will become a teenager.","In Iceland, <mask> will become a grown up.","In Iceland, <mask> will become a child.","In Iceland, <mask> will become an adolescent.","In Iceland, <mask> will become an adult.","In Iceland, <mask> is becoming a kid.","In Iceland, <mask> is becoming a teenager.","In Iceland, <mask> is becoming a grown up.","In Iceland, <mask> is becoming a child.","In Iceland, <mask> is becoming an adolescent.","In Iceland, <mask> is becoming an adult.","In Iceland, <mask> has become a kid.","In Iceland, <mask> has become a teenager.","In Iceland, <mask> has become a grown up.","In Iceland, <mask> has become a child.","In Iceland, <mask> has become an adolescent."
10,Switzerland,25.4,40.7,31.0,41.2,34.8,30.7,49.2,5.9,21.0,11.5,3.4,5.8,7.1,33.2,39.9,30.0,16.4,25.9,38.6,0.0,0.0,0.0,0.0,0.0,0.0,31.4,31.8,32.0,17.9,13.7,26.6,43.6,41.0,32.2,39.1,46.1,42.2,42.4,37.6,16.5,27.4,51.8,20.8,45.1,39.8,32.4,40.3,43.5,38.3,10.6,4.2,21.9,10.7,5.3,11.0,32.2,26.0,29.6,26.2,15.0
11,Ireland,32.0,47.2,33.6,41.9,40.1,36.8,54.3,9.5,31.0,14.7,5.3,13.1,12.4,40.2,38.8,31.4,24.9,35.5,43.5,0.0,0.0,0.0,0.0,0.0,0.0,38.2,38.5,31.1,24.2,22.6,31.7,46.2,41.1,31.9,42.4,47.1,47.1,53.3,31.3,22.2,43.3,49.2,39.6,51.4,41.2,31.4,40.1,46.1,45.6,19.1,8.3,23.6,17.6,9.2,14.1,49.3,33.4,33.0,34.9,19.9
12,Lithuania,33.7,54.3,33.7,40.8,40.1,34.1,57.0,11.0,31.6,16.1,2.4,4.7,6.4,31.9,36.8,31.1,16.0,22.2,32.7,0.0,0.0,0.0,0.0,0.0,0.0,36.8,41.7,34.0,22.5,15.9,37.6,45.5,42.1,30.8,38.5,48.4,50.9,51.6,38.1,22.7,39.7,50.5,28.5,43.6,37.7,31.6,36.9,36.5,34.5,18.9,7.6,28.9,16.4,10.1,20.1,40.5,28.6,33.8,25.9,19.5
13,Rwanda,32.7,21.3,24.5,33.8,18.0,15.5,48.0,5.8,32.0,14.3,2.4,12.3,8.0,28.5,44.4,31.8,18.7,30.6,41.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,37.5,31.2,18.3,25.8,31.7,38.9,45.0,25.8,33.1,43.0,48.5,51.5,38.7,34.8,43.2,48.8,45.5,42.5,39.7,33.9,35.7,41.3,45.3,12.6,12.2,23.6,8.4,10.9,19.7,30.9,28.3,30.2,15.8,19.1
14,Namibia,19.3,33.0,30.3,37.6,29.3,22.1,48.9,6.5,24.3,14.6,2.8,5.5,6.6,29.1,43.6,25.8,14.7,29.3,35.9,0.0,0.0,0.0,0.0,0.0,0.0,25.7,37.4,20.7,14.3,10.0,20.0,34.9,41.9,28.4,35.6,44.7,49.4,38.3,39.1,23.0,22.4,46.4,29.3,35.4,37.2,30.2,30.0,39.1,43.2,11.0,5.1,21.7,8.6,4.4,12.2,23.6,23.0,26.3,15.3,10.4
15,Sweden,21.0,42.1,26.4,39.3,34.7,25.7,52.1,9.2,31.2,15.9,3.1,6.3,8.4,34.9,34.5,29.4,15.6,24.9,36.2,0.0,0.0,0.0,0.0,0.0,0.0,37.6,34.8,32.7,18.0,13.9,26.2,43.2,37.7,29.8,36.0,41.9,36.7,50.9,32.2,20.6,29.4,45.9,18.6,44.8,37.0,29.5,35.9,38.4,32.0,14.5,4.2,22.5,11.1,5.7,11.6,44.5,25.2,29.0,26.8,13.7
16,New Zealand,25.2,35.3,28.1,36.8,36.3,28.8,45.6,11.4,26.1,17.1,6.8,8.8,15.4,37.4,37.9,30.4,21.8,35.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,33.0,32.1,19.4,20.2,27.3,45.2,34.2,30.5,40.9,44.0,36.9,53.9,21.3,27.4,43.6,42.1,32.5,51.5,33.2,31.4,42.3,45.6,33.0,14.9,4.8,21.1,13.7,7.5,11.4,40.1,25.1,31.7,31.6,16.5
17,Norway,19.6,40.5,25.1,37.1,34.4,23.8,50.5,6.1,26.6,14.8,0.0,4.3,9.2,27.4,28.1,23.8,11.6,16.2,30.3,0.0,0.0,0.0,0.0,0.0,0.0,32.3,33.8,31.5,15.7,8.5,23.5,40.7,37.8,27.7,36.1,44.6,37.8,39.7,31.1,20.3,22.5,46.1,17.7,38.0,34.6,26.6,30.9,34.4,31.1,13.9,2.9,23.2,10.7,4.2,9.8,40.0,15.1,29.3,21.6,9.8
18,Finland,15.3,52.9,35.7,39.7,37.9,38.3,50.4,5.7,8.0,14.7,0.0,4.3,7.4,27.1,29.3,25.9,10.6,13.4,28.4,0.0,0.0,0.0,0.0,0.0,0.0,32.9,25.5,29.4,14.6,8.3,26.5,45.9,38.6,31.9,38.8,44.2,39.0,27.3,32.3,16.6,7.8,43.2,11.2,32.2,31.6,24.7,21.6,32.6,20.8,11.0,2.0,19.7,7.1,3.5,8.2,32.5,8.9,24.6,14.8,7.4
19,Iceland,23.8,30.2,25.9,29.3,29.8,23.7,41.4,1.5,12.2,6.0,1.0,2.9,2.2,22.6,33.4,25.6,16.3,23.7,27.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,30.0,22.6,14.8,15.1,20.4,33.2,36.9,22.4,31.6,39.7,41.5,26.2,33.2,14.3,15.3,44.5,14.5,36.8,36.0,29.1,32.3,39.6,33.7,10.3,3.7,22.4,10.9,5.7,10.5,32.9,22.4,31.0,20.9,13.6
