,date,"[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
10,1875,27.075,0.314,1.177,0.656,0.0,44.705,35.864,0.304,1.216,0.525,0.225,42.852,30.688,30.883,0.71,0.0,0.313,42.941,33.252,0.564,1.857,1.096,0.415,43.212,25.219,0.492,36.941,0.0,0.383,39.254,32.153,0.0,0.674,40.728,0.0,42.581,27.392,36.938,37.451,35.467,0.333,41.406,31.396,26.098,26.074,32.965,21.863,32.94,27.466,0.341,1.239,0.633,0.348,36.969,24.829,0.308,29.687,36.41,0.268,36.438
11,1882,26.684,0.316,1.159,42.904,0.245,43.46,33.862,0.203,1.051,0.562,0.19,43.454,30.102,0.399,0.729,31.103,0.282,43.002,0.0,0.443,1.045,0.415,0.301,40.484,28.271,0.41,36.621,0.465,0.234,39.239,30.273,30.664,0.595,39.3,0.0,42.611,25.61,35.888,41.87,39.358,0.315,42.733,34.546,29.077,31.176,30.249,28.882,37.463,26.147,30.676,1.152,32.47,0.262,36.233,29.126,0.38,32.892,34.845,0.244,38.034
12,1889,0.0,0.382,1.162,42.584,0.22,43.304,39.608,0.237,1.131,40.841,0.205,41.287,30.517,28.54,0.814,30.908,26.733,43.594,32.422,0.562,2.305,0.49,0.361,40.988,25.757,0.444,36.093,35.568,0.253,35.092,29.541,25.219,26.343,37.707,0.0,43.28,25.439,36.401,0.0,0.0,0.275,45.895,32.397,27.954,1.135,0.0,24.206,36.258,29.541,33.203,1.247,38.693,0.281,38.049,28.662,0.0,27.27,37.127,0.193,36.752
13,1897,27.221,0.309,42.727,41.601,0.266,43.252,34.277,0.288,1.081,0.89,0.225,46.493,30.322,0.376,0.794,33.496,27.026,44.189,0.0,0.489,1.024,37.744,0.315,44.766,27.27,0.383,36.975,37.255,0.262,34.884,30.151,33.032,25.415,36.984,0.0,45.645,27.71,39.624,6.088,0.0,0.299,0.0,37.793,27.856,31.152,0.0,22.387,34.646,30.029,33.423,1.287,38.98,0.294,42.498,27.685,0.41,28.564,39.883,0.263,39.447
14,1904,24.695,0.311,0.997,45.782,0.303,43.707,36.108,0.252,1.137,0.98,0.283,43.35,32.592,0.378,27.221,26.904,0.258,41.427,31.909,0.525,39.431,39.379,0.355,42.657,28.784,0.431,36.987,38.855,0.336,36.38,31.762,31.128,26.66,41.174,0.0,43.518,26.245,0.297,37.646,39.228,0.79,0.0,35.864,26.22,30.664,26.123,30.908,34.805,26.587,0.781,1.223,36.297,0.297,34.057,25.781,0.29,32.336,37.631,0.255,36.837
15,1912,25.976,0.342,1.183,43.756,31.884,41.253,38.226,0.718,1.049,0.431,0.232,40.618,34.497,0.397,28.32,30.957,0.309,40.191,30.322,0.539,1.335,39.462,0.379,42.105,30.566,0.51,31.03,37.872,0.33,39.495,29.736,31.543,0.768,38.18,0.0,41.549,26.635,36.352,35.864,0.0,0.0,0.0,36.01,26.05,31.762,30.664,30.493,33.664,0.0,0.344,0.825,36.465,0.346,32.019,27.173,37.011,32.129,36.563,18.042,37.191
16,1919,31.408,0.471,45.05,45.465,0.674,37.24,40.78,0.381,1.395,39.621,0.278,36.963,33.12,26.269,32.592,0.0,29.052,35.495,0.0,0.575,1.329,42.26,0.407,36.05,30.273,0.46,35.928,42.501,0.272,36.895,33.984,0.349,6.586,39.322,0.243,31.588,28.027,0.475,6.909,36.148,0.374,40.344,31.421,26.147,6.641,0.0,0.362,24.573,0.0,0.324,1.236,40.661,0.341,1.269,29.248,0.476,26.367,0.0,0.269,0.0
17,1927,25.61,0.316,1.341,42.88,0.278,43.389,34.79,0.248,1.035,1.044,0.261,45.611,33.74,0.358,27.759,28.369,0.245,45.056,29.321,0.578,34.619,41.772,0.364,43.261,28.662,0.493,36.554,38.214,0.276,39.486,32.202,23.901,0.745,40.667,0.191,43.273,26.367,0.337,6.714,39.48,0.785,0.0,32.324,26.709,33.203,26.513,23.071,36.062,26.831,0.477,0.926,38.052,0.292,36.41,32.037,0.412,29.489,38.626,0.239,40.527
18,1934,25.854,0.423,43.74,41.742,37.829,37.686,35.009,0.375,1.158,1.119,0.325,38.601,35.196,0.394,33.642,32.324,28.32,32.788,32.373,1.085,1.217,37.573,0.295,35.098,33.007,0.441,38.26,43.994,0.252,38.98,34.713,0.368,0.726,38.003,0.487,0.0,29.76,0.4,6.421,0.0,0.374,46.347,35.424,26.269,1.012,0.0,0.398,0.0,30.786,0.483,1.207,40.234,0.281,1.192,29.492,0.396,28.256,0.0,0.273,0.0
19,1941,0.0,0.999,40.707,0.0,37.085,0.0,41.177,0.88,1.099,1.056,0.273,34.317,35.138,31.396,38.354,0.0,27.27,36.7,0.0,0.546,1.438,40.805,0.333,34.246,33.52,0.374,39.483,0.0,0.298,35.559,31.738,31.494,0.773,0.0,0.937,0.0,28.979,0.399,7.178,0.0,0.34,45.816,34.936,22.461,6.732,0.0,20.532,35.182,0.0,0.453,1.397,40.631,0.332,1.156,33.142,0.363,29.548,0.0,0.253,0.0
20,1949,0.0,38.299,43.78,42.849,39.682,0.0,33.667,0.857,1.027,1.07,0.296,39.099,33.31,35.501,0.0,0.0,32.379,0.0,0.0,1.285,1.368,36.975,30.996,39.856,27.734,0.569,40.112,40.365,0.735,41.693,30.078,0.426,6.354,0.0,0.739,0.0,29.931,0.407,7.318,0.0,0.41,0.0,31.543,25.488,31.244,0.0,20.471,0.0,0.0,0.338,1.361,0.0,0.393,33.987,26.733,0.396,31.363,0.0,0.675,0.0
21,1956,30.865,0.479,40.582,42.657,0.621,44.29,37.158,0.354,1.238,0.858,0.308,38.525,36.05,0.434,34.326,0.0,26.05,37.945,0.0,0.639,34.069,2.165,25.927,42.855,29.516,0.429,36.578,38.034,0.854,41.992,30.542,0.333,0.8,38.214,0.687,0.0,26.44,0.411,6.525,0.0,0.332,0.0,36.523,0.511,6.229,28.247,0.381,0.0,28.93,37.915,1.145,42.553,0.752,51.0,34.594,0.48,31.179,0.0,0.701,0.0
22,1964,27.026,0.42,0.741,41.574,32.104,34.332,33.398,0.877,1.288,1.179,0.358,36.3,34.289,0.982,0.988,30.591,27.734,36.264,0.0,1.275,1.28,38.229,0.896,35.235,32.568,0.381,35.641,35.949,0.921,38.888,30.322,1.045,0.707,34.732,0.735,0.0,25.952,0.975,6.18,39.038,0.941,0.0,34.35,24.975,30.908,23.865,30.298,0.0,28.637,0.85,30.438,38.278,0.756,33.16,31.579,0.39,26.788,34.054,0.681,0.0
23,1971,0.0,0.333,0.885,0.769,0.833,42.404,33.203,0.825,1.053,1.005,0.342,43.643,31.741,34.619,28.833,31.961,27.978,42.263,0.0,1.182,30.719,1.326,0.317,41.458,32.007,0.37,37.881,39.16,0.286,40.86,31.03,0.96,0.714,34.015,0.935,36.822,24.67,0.788,6.915,0.0,0.935,1.308,35.058,27.588,6.518,28.857,0.347,38.284,30.713,0.361,1.272,39.245,0.322,40.46,31.933,0.414,24.634,36.447,0.246,41.058
24,1978,23.596,0.399,0.801,0.784,0.305,40.051,29.858,0.754,1.053,1.006,0.24,41.732,27.051,0.27,26.294,28.149,23.974,40.976,0.0,0.581,23.401,34.045,25.83,38.052,29.15,0.413,27.563,38.147,0.247,37.64,28.393,0.358,22.79,30.716,0.671,34.89,20.459,0.85,1.473,31.347,0.876,44.592,31.225,0.479,0.733,30.914,1.066,39.602,26.44,38.574,1.197,35.833,0.349,40.658,27.197,0.349,24.621,38.855,0.787,40.472
25,1986,0.0,0.31,30.591,39.721,32.129,37.072,31.616,0.766,1.035,1.051,0.22,40.783,33.795,24.939,26.294,37.265,27.563,42.123,0.0,0.557,29.22,39.596,0.747,38.366,27.124,0.309,35.138,42.37,0.3,42.004,29.931,0.266,24.463,32.705,21.765,37.078,24.829,0.886,6.128,1.078,0.772,47.991,32.885,0.926,23.449,30.902,22.68,36.941,27.783,0.516,30.597,1.196,0.319,41.235,28.589,0.344,26.23,34.787,0.747,40.368
26,1993,21.838,0.356,1.58,0.754,0.276,38.18,26.782,0.884,1.074,0.964,0.249,37.912,24.28,24.206,26.098,31.152,0.291,39.209,0.0,0.588,1.239,38.232,0.357,36.367,24.634,34.558,35.244,41.424,0.266,39.91,29.077,0.333,0.748,24.487,0.202,31.509,22.4,0.431,1.425,0.974,0.334,0.0,29.614,21.997,23.12,23.645,20.215,38.418,0.0,34.35,25.537,1.173,0.721,39.172,25.439,0.354,23.633,32.785,0.219,37.219
27,2001,0.0,0.901,30.542,0.87,0.262,37.063,31.03,0.837,1.11,0.984,0.308,36.117,26.928,24.695,25.683,25.976,24.756,40.655,0.0,0.593,2.103,2.138,0.282,35.363,24.157,0.443,38.302,39.706,0.246,41.287,30.2,0.322,21.826,25.268,0.263,32.94,21.618,0.369,6.348,0.961,0.364,0.0,29.687,21.924,0.0,28.152,21.069,34.134,0.0,0.447,29.388,0.657,0.337,35.891,27.881,0.37,23.401,32.852,0.0,37.713
28,2008,0.0,0.35,0.868,0.819,0.271,27.759,32.617,0.831,1.167,0.989,0.248,32.785,24.084,23.315,23.315,31.414,22.998,36.02,26.709,0.56,30.377,34.878,25.903,34.286,24.231,35.351,43.89,44.625,34.793,38.433,25.854,29.492,21.606,25.317,22.973,0.0,22.18,0.475,0.0,0.933,26.001,0.0,28.93,21.484,23.388,26.465,0.0,0.0,0.0,22.803,29.306,5.987,23.645,33.78,24.548,23.782,0.0,29.699,0.0,34.897
29,2016,23.852,1.014,37.109,1.118,0.254,43.914,31.909,0.89,1.038,0.85,0.309,33.099,25.317,28.564,28.759,35.037,27.27,0.0,0.0,0.557,1.298,1.244,0.382,30.053,28.222,0.537,44.818,51.913,0.254,39.413,28.784,0.259,27.685,35.437,0.213,0.0,25.537,0.381,1.166,1.043,0.201,0.0,0.0,21.618,25.757,30.938,24.487,0.0,25.39,0.407,28.775,29.913,23.681,22.751,21.362,20.105,31.097,33.868,18.249,28.964
