,date,"[NLU] In 2016, <extra_id_0> has become an adult.","[NLU] In 2016, <extra_id_0> was a kid.","[NLU] In 2016, <extra_id_0> was a teenager.","[NLU] In 2016, <extra_id_0> was a grown up.","[NLU] In 2016, <extra_id_0> was a child.","[NLU] In 2016, <extra_id_0> was an adolescent.","[NLU] In 2016, <extra_id_0> was an adult.","[NLU] In 2016, <extra_id_0> is a kid.","[NLU] In 2016, <extra_id_0> is a teenager.","[NLU] In 2016, <extra_id_0> is a grown up.","[NLU] In 2016, <extra_id_0> is a child.","[NLU] In 2016, <extra_id_0> is an adolescent.","[NLU] In 2016, <extra_id_0> is an adult.","[NLU] In 2016, <extra_id_0> will be a kid.","[NLU] In 2016, <extra_id_0> will be a teenager.","[NLU] In 2016, <extra_id_0> will be a grown up.","[NLU] In 2016, <extra_id_0> will be a child.","[NLU] In 2016, <extra_id_0> will be an adolescent.","[NLU] In 2016, <extra_id_0> will be an adult.","[NLU] In 2016, <extra_id_0> is being a kid.","[NLU] In 2016, <extra_id_0> is being a teenager.","[NLU] In 2016, <extra_id_0> is being a grown up.","[NLU] In 2016, <extra_id_0> is being a child.","[NLU] In 2016, <extra_id_0> is being an adolescent.","[NLU] In 2016, <extra_id_0> is being an adult.","[NLU] In 2016, <extra_id_0> has been a kid.","[NLU] In 2016, <extra_id_0> has been a teenager.","[NLU] In 2016, <extra_id_0> has been a grown up.","[NLU] In 2016, <extra_id_0> has been a child.","[NLU] In 2016, <extra_id_0> has been an adolescent.","[NLU] In 2016, <extra_id_0> has been an adult.","[NLU] In 2016, <extra_id_0> became a kid.","[NLU] In 2016, <extra_id_0> became a teenager.","[NLU] In 2016, <extra_id_0> became a grown up.","[NLU] In 2016, <extra_id_0> became a child.","[NLU] In 2016, <extra_id_0> became an adolescent.","[NLU] In 2016, <extra_id_0> became an adult.","[NLU] In 2016, <extra_id_0> becomes a kid.","[NLU] In 2016, <extra_id_0> becomes a teenager.","[NLU] In 2016, <extra_id_0> becomes a grown up.","[NLU] In 2016, <extra_id_0> becomes a child.","[NLU] In 2016, <extra_id_0> becomes an adolescent.","[NLU] In 2016, <extra_id_0> becomes an adult.","[NLU] In 2016, <extra_id_0> will become a kid.","[NLU] In 2016, <extra_id_0> will become a teenager.","[NLU] In 2016, <extra_id_0> will become a grown up.","[NLU] In 2016, <extra_id_0> will become a child.","[NLU] In 2016, <extra_id_0> will become an adolescent.","[NLU] In 2016, <extra_id_0> will become an adult.","[NLU] In 2016, <extra_id_0> is becoming a kid.","[NLU] In 2016, <extra_id_0> is becoming a teenager.","[NLU] In 2016, <extra_id_0> is becoming a grown up.","[NLU] In 2016, <extra_id_0> is becoming a child.","[NLU] In 2016, <extra_id_0> is becoming an adolescent.","[NLU] In 2016, <extra_id_0> is becoming an adult.","[NLU] In 2016, <extra_id_0> has become a kid.","[NLU] In 2016, <extra_id_0> has become a teenager.","[NLU] In 2016, <extra_id_0> has become a grown up.","[NLU] In 2016, <extra_id_0> has become a child.","[NLU] In 2016, <extra_id_0> has become an adolescent."
10,1875,20.05,18.656,10.609,11.341,94.286,0.0,20.236,2.334,0.0,0.829,0.0,0.0,15.998,15.76,17.68,18.51,0.0,0.0,17.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.311,7.665,0.0,10.46,0.0,20.915,10.519,20.698,0.0,20.656,1.886,1.077,6.81,0.681,0.0,2.617,0.0,18.056,17.212,3.037,0.298,17.622,0.0,0.0,0.0,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1882,17.309,0.0,11.055,11.175,93.749,0.0,20.83,3.364,0.0,0.0,0.0,0.0,19.125,6.796,18.073,18.41,0.0,18.145,17.94,57.128,0.0,0.0,10.856,0.0,49.877,0.0,13.043,9.974,19.798,18.318,10.368,0.0,10.609,10.557,21.208,0.662,10.907,0.0,0.0,7.007,1.584,0.0,17.079,0.014,19.009,18.373,4.084,18.702,17.893,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,9.457,0.0,28.579
12,1889,0.0,0.0,10.47,11.215,89.745,0.0,0.0,2.793,0.0,32.174,0.0,0.0,18.019,16.721,17.768,18.533,0.0,0.0,18.119,0.0,0.0,0.0,0.0,0.0,0.0,6.807,0.0,9.752,21.312,0.0,9.963,0.0,0.0,10.103,20.575,0.0,20.458,0.0,0.88,3.584,0.985,0.0,3.347,0.0,17.898,17.375,3.164,0.0,16.735,0.0,0.0,0.0,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1897,0.0,0.0,10.712,11.679,89.941,0.0,0.0,1.888,0.0,30.877,0.0,0.0,18.919,15.76,0.0,18.607,0.0,17.976,17.34,0.0,0.0,0.0,11.515,0.0,49.169,10.086,0.0,10.434,8.298,0.0,10.548,0.0,9.79,10.474,20.222,0.69,10.547,0.188,0.0,6.743,1.119,0.0,16.219,0.0,18.172,17.337,2.793,17.967,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1904,0.0,18.442,10.117,11.197,91.845,0.0,0.0,3.401,0.0,0.0,0.0,0.0,19.345,15.185,18.14,18.584,0.0,18.4,17.2,0.0,0.0,0.0,0.0,0.0,50.878,7.256,0.0,10.585,17.619,0.0,10.081,0.0,10.278,11.762,19.885,0.0,10.696,0.572,0.0,6.388,1.218,0.0,4.163,0.0,19.158,8.101,3.081,18.54,17.373,0.688,0.0,0.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1912,0.0,0.0,19.975,10.806,90.771,0.0,19.761,2.04,0.0,0.0,0.0,0.0,18.736,15.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.054,0.0,10.143,18.271,0.0,9.645,6.081,0.0,11.16,18.919,0.0,10.56,1.094,0.0,2.727,0.641,0.0,3.618,5.804,0.0,17.001,2.693,18.202,17.23,0.378,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1919,0.0,18.969,19.206,11.216,0.0,0.0,19.74,2.065,0.0,33.587,0.0,0.0,16.519,4.096,0.0,0.0,0.0,17.123,16.883,0.0,0.0,0.0,0.0,0.0,0.04,13.928,0.0,10.53,61.083,0.0,8.735,5.955,0.0,10.742,4.519,0.0,0.0,1.63,0.432,2.765,0.496,1.16,2.672,4.224,17.005,17.217,2.006,16.658,0.0,1.633,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1927,0.0,0.0,19.731,10.675,0.0,0.0,17.976,3.409,0.0,0.0,0.0,0.0,19.243,0.0,0.0,0.0,0.0,17.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.628,23.034,10.583,7.56,0.137,9.805,6.252,0.0,11.781,17.566,0.0,10.361,0.941,0.0,4.26,0.95,0.0,3.85,4.121,17.515,16.656,2.081,17.654,18.253,1.207,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.636,0.0,0.0,0.0,0.0,17.064,55.126,0.0,0.0,0.0,17.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,2.539,10.191,72.607,0.0,9.52,6.61,0.0,10.957,17.51,0.0,0.0,1.382,0.695,2.827,1.254,1.597,4.196,6.329,17.977,0.0,3.941,17.69,17.083,2.189,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.527
19,1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903,0.0,0.0,2.785,0.0,17.072,0.0,0.0,0.0,0.0,17.95,17.89,0.0,0.0,0.0,0.0,0.214,0.0,7.185,0.0,7.501,52.001,0.0,8.656,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.597,2.549,0.852,0.995,0.929,3.786,16.663,0.0,3.093,16.314,15.489,0.0,0.0,0.0,0.203,0.0,0.0,5.784,0.0,0.0,0.0,0.0
20,1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.016,0.233,0.0,0.0,0.0,17.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.549,0.0,9.568,49.462,0.0,8.846,0.0,0.0,0.0,0.0,0.0,0.0,1.105,0.431,3.013,0.859,1.075,2.328,4.15,17.294,0.0,2.555,0.0,0.0,1.161,0.0,0.0,0.192,0.0,0.0,5.76,0.0,8.588,0.0,0.0
21,1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.863,0.0,0.0,14.661,0.0,16.288,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.171,0.0,7.526,9.399,8.832,17.262,0.0,8.448,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.443,2.334,0.605,2.395,2.764,4.238,0.0,0.0,2.068,6.832,0.0,0.502,0.0,0.0,0.179,0.0,0.0,4.332,0.0,0.0,0.0,0.0
22,1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.917,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.701,0.0,7.456,52.099,0.0,17.657,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.328,1.226,0.357,2.191,0.0,0.0,0.0,0.0,1.661,0.0,0.0,0.26,0.0,0.0,0.162,0.0,0.0,1.516,0.0,0.0,0.0,0.0
23,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,18.149,32.147,0.0,0.0,3.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.601,0.0,8.499,56.103,0.0,18.146,0.0,0.0,0.0,0.0,0.0,0.0,0.276,0.197,1.334,0.379,0.596,1.274,3.413,0.0,0.0,1.843,0.0,0.0,0.393,0.0,0.0,0.175,0.0,17.938,2.41,0.328,0.0,0.0,0.0
24,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.513,0.0,8.094,0.0,0.0,17.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.0,9.128,8.052,0.0,18.696,0.0,0.0,0.0,0.0,0.0,0.0,0.406,0.434,1.99,0.776,2.048,2.131,2.963,0.0,0.0,0.0,15.913,0.0,0.302,0.0,0.0,0.245,0.0,17.425,2.173,0.0,7.318,0.0,0.312
25,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.685,0.0,7.667,0.0,0.0,16.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.496,0.0,8.762,8.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.267,1.589,0.435,0.8,2.896,0.0,0.0,0.0,1.812,0.0,0.0,0.231,0.0,0.0,0.299,0.0,18.017,2.793,0.0,0.0,0.0,0.0
26,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.007,14.968,8.374,16.012,0.0,17.443,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,6.52,0.0,9.506,9.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549,1.047,2.519,1.322,0.0,0.0,0.0,0.0,0.0,2.438,0.0,0.0,0.348,0.0,0.0,2.434,0.0,22.912,2.726,0.0,6.825,0.0,0.0
27,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.48,7.334,9.399,17.752,67.089,18.369,0.0,0.0,0.0,0.0,74.853,0.0,0.085,0.186,0.0,80.566,0.0,0.0,8.163,8.671,10.159,9.185,8.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.579,0.0,6.579,2.08,0.0,0.0,2.836,0.0,0.0,3.429,0.0,0.0,0.0,0.0,7.55,14.96,0.0,7.747,5.51,0.0,0.0,6.882,0.0
28,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.458,7.988,9.596,61.62,0.0,17.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.354,0.0,8.713,9.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.116,0.0,4.72,1.857,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.749,0.0,0.0,0.0,0.0
29,2016,0.0,0.0,0.0,0.0,0.0,0.0,12.259,2.196,0.0,0.0,0.0,0.0,3.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243,0.0,0.0,0.593,0.0,0.0,0.0,0.0,0.0,1.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
