,place,"In Iceland, <mask> has become an adult.","In Iceland, <mask> was a kid.","In Iceland, <mask> was a teenager.","In Iceland, <mask> was a grown up.","In Iceland, <mask> was a child.","In Iceland, <mask> was an adolescent.","In Iceland, <mask> was an adult.","In Iceland, <mask> is a kid.","In Iceland, <mask> is a teenager.","In Iceland, <mask> is a grown up.","In Iceland, <mask> is a child.","In Iceland, <mask> is an adolescent.","In Iceland, <mask> is an adult.","In Iceland, <mask> will be a kid.","In Iceland, <mask> will be a teenager.","In Iceland, <mask> will be a grown up.","In Iceland, <mask> will be a child.","In Iceland, <mask> will be an adolescent.","In Iceland, <mask> will be an adult.","In Iceland, <mask> is being a kid.","In Iceland, <mask> is being a teenager.","In Iceland, <mask> is being a grown up.","In Iceland, <mask> is being a child.","In Iceland, <mask> is being an adolescent.","In Iceland, <mask> is being an adult.","In Iceland, <mask> has been a kid.","In Iceland, <mask> has been a teenager.","In Iceland, <mask> has been a grown up.","In Iceland, <mask> has been a child.","In Iceland, <mask> has been an adolescent.","In Iceland, <mask> has been an adult.","In Iceland, <mask> became a kid.","In Iceland, <mask> became a teenager.","In Iceland, <mask> became a grown up.","In Iceland, <mask> became a child.","In Iceland, <mask> became an adolescent.","In Iceland, <mask> became an adult.","In Iceland, <mask> becomes a kid.","In Iceland, <mask> becomes a teenager.","In Iceland, <mask> becomes a grown up.","In Iceland, <mask> becomes a child.","In Iceland, <mask> becomes an adolescent.","In Iceland, <mask> becomes an adult.","In Iceland, <mask> will become a kid.","In Iceland, <mask> will become a teenager.","In Iceland, <mask> will become a grown up.","In Iceland, <mask> will become a child.","In Iceland, <mask> will become an adolescent.","In Iceland, <mask> will become an adult.","In Iceland, <mask> is becoming a kid.","In Iceland, <mask> is becoming a teenager.","In Iceland, <mask> is becoming a grown up.","In Iceland, <mask> is becoming a child.","In Iceland, <mask> is becoming an adolescent.","In Iceland, <mask> is becoming an adult.","In Iceland, <mask> has become a kid.","In Iceland, <mask> has become a teenager.","In Iceland, <mask> has become a grown up.","In Iceland, <mask> has become a child.","In Iceland, <mask> has become an adolescent."
10,Switzerland,0.0,14.2,31.1,17.4,26.1,27.8,22.1,0.0,0.0,0.0,0.0,0.0,0.0,5.3,12.2,7.7,3.0,3.8,3.7,0.0,0.0,0.0,0.0,0.0,0.0,7.5,17.5,8.6,9.8,13.8,12.7,24.2,27.7,18.2,20.2,25.2,25.9,7.7,17.1,2.6,0.0,10.2,2.1,5.9,5.1,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.3,3.4,0.0,3.1
11,Ireland,0.0,21.5,24.4,14.6,13.8,20.1,15.2,0.0,0.0,0.0,0.0,0.0,0.0,4.1,11.3,5.1,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,10.7,6.2,0.0,3.3,4.5,23.3,22.9,15.9,12.3,19.9,21.3,11.6,13.3,5.4,2.5,7.6,3.4,7.5,5.1,4.6,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,3.4,3.6,3.1,0.0,0.0
12,Lithuania,0.0,25.0,23.6,8.8,15.4,21.4,11.4,0.0,0.0,0.0,0.0,0.0,0.0,3.8,7.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.9,5.1,0.0,6.5,4.0,18.3,26.0,12.3,9.6,21.5,18.3,3.0,3.0,0.0,0.0,2.5,0.0,4.2,3.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.7,0.0,0.0
13,Rwanda,0.0,12.8,21.7,11.5,17.0,16.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.6,0.0,4.9,4.3,13.9,22.1,13.4,10.9,19.6,19.3,3.4,7.4,0.0,0.0,3.5,0.0,3.6,3.1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0
14,Namibia,0.0,20.7,22.0,11.1,14.3,16.7,15.8,0.0,0.0,0.0,0.0,0.0,0.0,3.6,9.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,11.6,7.7,0.0,6.4,8.3,19.4,25.8,16.9,10.6,21.9,21.1,3.1,5.4,0.0,0.0,2.6,0.0,4.1,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0
15,Sweden,0.0,24.0,23.4,13.9,16.6,21.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,3.5,9.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,10.9,7.1,0.0,6.6,4.6,24.1,22.9,16.7,13.9,20.6,21.0,6.5,11.0,0.0,0.0,5.4,2.4,5.0,4.1,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.9,2.9,0.0,0.0
16,New Zealand,0.0,20.7,21.2,12.7,12.2,14.3,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.1,9.2,4.6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,11.2,7.2,0.0,3.2,4.6,22.7,21.5,17.8,10.9,16.2,18.4,7.3,9.9,0.0,0.0,4.4,0.0,5.8,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,3.8,0.0,0.0
17,Norway,0.0,26.8,26.4,14.9,19.1,25.7,21.1,0.0,0.0,0.0,0.0,0.0,0.0,4.7,10.2,6.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,11.5,8.8,1.9,10.6,11.5,25.5,27.5,19.5,16.4,24.8,27.2,6.2,8.0,0.0,0.0,4.4,2.3,5.7,3.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.4,3.2,0.0,0.0
18,Finland,0.0,24.4,18.7,10.2,16.0,19.4,11.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,7.2,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,7.6,4.9,0.0,5.5,3.9,19.4,20.9,12.6,11.8,18.1,18.2,5.5,6.3,0.0,0.0,3.9,1.8,4.2,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,2.1,0.0,0.0
19,Iceland,0.0,16.6,28.7,11.6,21.2,24.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,2.1,7.1,3.7,1.9,2.9,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.2,3.6,0.0,5.8,3.7,16.6,26.5,13.0,16.5,23.4,21.7,4.1,10.0,0.0,0.0,5.1,0.0,3.1,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.2,0.0,0.0
