,place,"In this sentence: 'In Iceland, <mask> has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become an adolescent.', the missing gendered pronoun is"
10,Switzerland,15.44,20.093,84.326,61.656,71.272,63.697,71.961,65.152,69.432,75.162,15.452,68.069,12.812,12.622,52.254,65.787,12.772,44.237,12.927,12.362,13.631,36.128,13.423,76.32,1.968,14.455,15.641,15.52,10.67,14.19,12.687,64.148,17.371,20.297,19.172,19.743,19.518,0.0,17.1,12.98,12.323,14.746,0.175,0.0,20.602,14.263,13.992,19.52,13.596,99.931,55.854,15.932,17.243,17.134,96.025,26.974,14.753,19.397,17.221,0.0
11,Ireland,14.22,86.197,98.141,69.448,20.362,55.006,71.694,81.843,91.244,60.848,77.011,82.704,19.695,62.161,38.433,67.451,0.719,20.474,16.538,99.885,43.812,27.944,18.943,16.16,12.989,14.333,14.856,28.676,7.42,14.396,14.236,82.884,20.37,20.663,18.527,20.225,17.735,0.519,16.676,20.157,9.103,0.686,16.067,0.0,64.502,17.37,16.723,18.009,12.088,14.209,28.65,14.752,4.299,17.093,16.631,29.407,7.116,99.999,21.85,22.565
12,Lithuania,17.304,59.599,71.928,47.739,81.205,69.728,81.548,88.19,92.35,60.141,87.276,82.863,48.567,14.181,57.166,50.247,31.149,19.409,14.44,7.085,30.776,32.783,14.76,32.63,17.105,13.566,14.386,28.7,1.726,14.572,14.835,21.195,20.205,17.402,15.643,16.203,17.248,0.0,15.401,12.632,2.238,15.023,0.419,14.526,56.027,19.051,15.856,18.899,93.609,15.833,20.055,99.999,14.79,14.267,99.997,43.467,0.0,99.999,16.807,11.995
13,Rwanda,17.81,18.372,21.814,19.167,16.671,29.872,60.312,16.737,63.515,17.781,17.149,99.998,14.492,0.35,24.063,19.277,13.16,11.785,12.509,12.338,8.309,14.869,13.13,10.442,12.227,13.678,14.997,99.999,0.174,14.28,14.278,15.721,28.688,15.131,15.822,28.6,13.549,14.877,15.488,14.772,1.688,99.996,11.566,18.649,16.628,12.969,16.946,28.57,12.345,11.752,99.999,99.999,14.844,99.999,15.208,15.756,11.895,99.999,15.76,0.0
14,Namibia,16.268,15.015,17.42,15.607,15.175,18.108,29.071,65.121,78.926,17.174,17.393,16.633,14.347,14.29,13.821,13.889,17.055,12.499,15.092,12.716,15.894,16.144,17.458,12.994,12.767,14.315,14.719,14.286,12.433,14.286,14.554,17.736,15.2,16.262,15.543,28.782,14.019,97.838,16.119,16.067,16.579,14.472,14.025,12.965,13.377,0.467,15.043,15.054,14.685,15.016,28.909,14.852,14.971,15.027,15.208,15.54,14.285,14.286,15.479,28.64
15,Sweden,19.55,50.519,84.616,76.494,74.336,68.937,83.472,15.961,83.969,60.595,17.87,87.778,45.85,9.27,44.874,18.41,0.0,41.905,10.066,0.798,11.811,17.62,8.182,39.223,12.102,8.549,14.679,15.896,0.185,14.177,14.143,58.776,18.872,18.888,17.774,19.393,20.443,0.0,15.637,0.859,12.226,11.219,0.024,0.0,63.753,8.882,0.0,16.458,2.893,96.104,17.841,99.999,99.936,17.239,18.175,19.806,19.077,15.793,12.984,12.199
16,New Zealand,15.036,17.904,17.459,16.328,15.946,17.997,17.407,54.444,93.088,20.234,18.869,17.878,15.882,14.089,14.411,15.082,14.285,16.09,14.424,11.817,14.617,14.774,14.923,15.851,12.111,13.034,14.74,14.286,1.282,14.279,14.177,16.95,16.375,15.344,15.387,15.332,15.275,0.0,18.376,17.081,3.149,14.289,1.018,8.355,16.874,15.573,16.255,14.615,12.824,14.697,28.997,14.57,14.894,15.284,14.584,16.505,14.873,28.66,15.397,0.0
17,Norway,36.042,68.71,77.016,65.583,20.115,73.5,88.342,75.732,92.009,41.247,20.585,84.897,13.437,34.768,61.874,17.803,14.422,46.086,13.162,0.0,56.025,16.399,12.503,57.49,13.885,9.988,14.429,14.71,0.032,14.278,14.455,63.98,17.496,19.056,16.522,19.663,20.024,0.0,15.261,3.423,12.329,14.731,0.224,9.124,71.858,16.928,13.592,17.776,12.489,13.342,29.149,16.247,21.944,14.287,25.085,52.318,13.794,16.04,13.325,14.454
18,Finland,55.534,68.105,75.955,78.695,64.256,60.026,74.116,93.108,88.372,71.381,14.832,75.679,13.36,12.684,68.555,47.625,9.165,66.561,15.42,0.0,27.461,16.116,12.361,45.302,11.965,5.062,14.994,16.423,0.002,14.274,14.211,82.985,19.114,57.225,18.62,16.573,19.705,0.0,53.125,9.442,12.087,14.064,0.174,0.0,70.498,14.114,0.0,72.182,0.896,16.678,54.245,99.998,20.794,19.078,15.675,16.858,8.588,17.52,17.627,12.211
19,Iceland,12.319,67.498,55.578,43.776,17.519,46.912,51.105,79.615,88.509,71.424,16.314,54.731,13.666,13.047,47.509,18.827,15.057,52.933,10.302,12.917,14.474,13.299,12.584,12.812,12.287,13.384,14.528,10.411,0.617,15.079,14.554,57.879,43.068,67.56,4.548,17.178,17.01,0.0,17.296,49.437,0.0,15.727,2.813,0.0,18.347,12.188,12.816,55.339,8.997,16.529,11.837,14.279,12.549,14.209,28.571,13.496,11.757,0.0,3.861,0.0
