,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
10,1875,7.564,3.644,7.968,4.709,5.173,37.567,0.0,14.492,15.224,11.926,4.053,31.28,10.376,3.676,2.408,2.483,0.0,7.193,0.0,22.084,8.458,19.102,11.247,19.808,9.914,6.603,2.289,3.831,2.749,12.209,2.429,9.074,6.903,2.628,0.0,13.123,4.694,9.668,18.866,16.408,2.161,23.718,18.988,1.453,2.657,1.996,0.0,6.371,0.0,13.024,12.104,12.858,12.451,18.367,13.843,7.741,7.549,9.801,5.811,14.841
11,1882,6.411,4.645,14.114,0.0,3.65,33.603,4.623,18.213,14.497,9.989,3.589,32.403,7.316,1.469,2.048,0.0,0.0,5.991,0.0,19.368,15.421,15.616,9.572,24.402,11.395,5.016,3.649,4.536,2.218,10.356,1.751,7.515,4.614,0.0,0.0,10.716,4.437,10.919,14.448,9.709,1.682,24.212,21.551,0.0,2.515,1.953,0.0,12.694,0.0,10.221,14.256,12.488,12.233,16.371,13.477,6.771,6.395,7.257,5.065,15.099
12,1889,6.533,3.821,6.555,7.393,3.168,38.366,4.001,11.906,15.589,9.09,3.452,29.126,7.92,1.591,1.53,1.918,0.0,3.921,1.863,18.851,13.607,12.912,9.227,16.699,9.648,3.485,1.394,3.068,3.481,10.166,1.474,7.206,6.244,0.0,0.0,8.438,3.818,9.745,14.058,13.572,2.313,17.544,9.09,2.843,2.534,1.471,0.0,7.376,1.764,9.668,11.403,10.846,9.211,14.433,10.524,6.007,4.675,5.97,3.925,15.868
13,1897,7.424,3.622,14.964,0.0,3.041,32.519,4.694,17.057,13.868,13.411,4.822,29.239,8.018,1.84,0.0,1.949,0.0,4.736,0.0,14.929,15.389,12.565,10.689,16.829,9.623,4.753,2.864,2.974,2.625,8.181,2.925,6.331,2.6,2.394,0.0,12.099,4.077,8.195,14.727,12.394,2.879,15.494,14.856,0.0,2.081,2.078,0.0,4.735,0.0,12.13,8.923,10.535,8.671,18.331,12.297,7.608,8.597,7.713,4.333,12.716
14,1904,6.824,5.713,6.181,0.0,3.97,23.755,3.275,17.159,15.184,11.601,10.347,27.441,9.932,1.898,1.822,1.845,0.0,6.578,1.834,14.463,16.296,14.962,10.594,23.877,9.847,5.005,3.453,5.377,5.081,7.902,1.435,8.443,2.348,1.978,0.0,8.118,3.714,12.702,11.528,12.095,11.076,14.929,11.795,3.207,2.269,1.782,0.0,7.785,1.778,9.414,11.348,11.507,8.427,10.411,10.172,5.029,6.002,6.388,5.215,10.331
15,1912,7.792,3.342,16.643,0.0,4.898,19.286,2.84,15.67,12.187,14.123,10.775,16.817,8.114,0.0,1.852,1.978,0.0,7.422,1.707,20.797,15.087,13.636,14.795,27.759,16.76,4.91,5.213,4.651,4.998,7.617,3.345,3.67,5.402,2.354,0.0,8.248,4.382,9.721,13.228,14.563,2.797,13.46,8.881,3.335,2.135,2.464,0.0,3.198,1.845,12.61,10.998,13.985,12.443,15.491,15.747,10.284,7.768,10.934,5.248,12.378
16,1919,8.112,9.617,12.173,3.648,3.79,16.463,7.762,18.225,10.86,7.355,13.656,23.523,8.909,0.0,0.0,1.601,0.0,4.456,2.008,12.013,7.707,8.805,6.864,11.914,8.331,3.713,3.31,5.157,4.416,8.075,3.193,8.431,6.306,2.299,0.0,5.786,4.037,8.409,12.92,11.735,12.437,11.727,13.437,1.212,2.126,1.846,0.0,8.326,2.928,6.376,6.346,11.296,4.211,9.393,9.717,5.524,4.684,7.365,4.373,10.848
17,1927,5.644,4.443,13.481,2.722,3.806,18.53,3.864,16.402,12.371,11.817,4.666,31.924,12.117,2.736,1.398,1.666,0.0,3.275,0.0,11.009,9.91,15.272,17.151,24.951,10.661,5.693,4.064,7.241,5.719,9.233,1.314,6.655,2.513,2.945,0.0,7.928,2.69,9.218,11.662,12.268,2.695,13.071,8.032,2.997,1.613,2.025,0.0,4.611,2.15,10.402,10.022,14.978,8.425,13.277,20.935,6.342,6.656,7.045,3.646,10.525
18,1934,5.782,2.971,3.384,0.0,3.687,14.111,5.057,10.803,10.758,7.263,4.806,27.075,9.172,0.0,1.624,1.513,0.0,5.72,2.194,9.987,13.344,13.889,8.942,15.157,6.757,4.544,1.808,4.698,4.561,7.886,3.681,9.146,3.044,2.798,0.0,5.754,3.955,11.213,12.22,13.749,1.602,10.227,23.306,1.048,1.723,1.906,0.0,5.855,2.087,6.68,6.134,12.362,8.029,10.628,9.253,7.331,4.626,6.954,3.856,8.537
19,1941,6.441,3.424,3.821,0.0,0.0,13.769,6.014,14.388,9.342,10.388,14.864,25.927,10.057,0.0,0.0,1.342,0.0,5.069,1.505,10.315,6.488,12.792,8.608,9.8,11.089,4.739,3.145,5.457,3.17,8.12,2.691,3.196,1.704,2.408,0.0,7.867,3.25,9.357,14.048,11.26,3.992,11.06,25.494,1.344,1.332,1.532,0.0,5.859,3.947,8.435,6.23,13.936,9.567,10.396,11.735,7.243,5.311,8.838,4.801,10.187
20,1949,8.936,3.69,3.445,2.058,2.763,20.274,2.579,17.11,11.19,10.097,6.012,30.676,10.282,0.0,2.034,1.749,0.0,5.501,0.0,13.261,11.911,17.394,10.195,20.837,10.247,4.602,3.074,5.738,3.904,6.319,4.269,0.0,2.1,2.48,0.0,6.604,4.26,8.826,12.394,6.999,2.861,16.58,9.138,1.352,2.065,3.563,0.0,8.704,2.242,7.482,9.151,16.5,6.364,9.766,13.649,5.914,5.813,8.995,4.24,12.903
21,1956,5.139,1.709,3.436,1.211,2.197,15.633,2.158,14.392,13.275,7.593,3.815,32.422,7.591,0.0,0.0,1.327,0.0,7.425,0.0,10.372,13.253,10.799,2.367,13.953,11.965,3.505,3.59,5.032,2.529,8.85,1.823,0.0,1.604,2.528,0.0,7.515,2.533,14.329,12.636,8.081,2.472,15.976,6.764,0.0,1.555,1.665,1.266,5.034,1.379,8.195,7.709,14.274,4.39,11.786,10.413,4.281,3.156,7.053,3.149,11.971
22,1964,5.123,2.646,3.096,0.0,2.284,16.121,2.869,22.046,11.404,6.602,5.081,27.173,7.882,0.0,0.0,1.364,1.372,7.407,1.869,10.58,9.672,12.083,7.527,13.049,8.248,5.148,2.734,5.007,3.235,8.435,1.899,2.167,2.066,2.264,2.913,3.613,3.345,10.016,6.792,13.596,2.55,15.953,23.01,1.151,1.62,2.124,1.134,5.833,2.032,9.439,6.317,17.193,9.031,13.765,10.172,4.979,4.932,9.098,4.647,9.65
23,1971,10.046,1.653,2.739,2.045,3.366,13.554,2.812,21.817,17.519,9.613,6.573,35.202,11.064,0.0,1.488,2.112,1.529,6.689,2.158,12.141,17.399,15.314,5.652,21.045,12.349,6.836,5.351,6.196,5.328,9.757,4.026,1.627,1.967,2.574,1.575,3.744,2.403,14.393,15.588,12.288,2.911,17.891,15.447,1.479,1.287,4.228,1.878,6.694,3.912,9.355,11.132,14.374,5.496,10.614,10.498,5.611,6.015,12.658,3.235,16.637
24,1978,8.443,2.165,2.798,2.405,2.499,17.956,2.522,16.3,16.846,11.519,13.806,35.327,10.824,1.543,1.73,2.023,1.854,9.497,2.113,17.301,13.941,26.745,8.241,12.256,13.071,6.044,5.99,7.318,5.086,10.864,4.513,2.122,2.211,2.31,2.193,2.64,3.21,10.118,11.266,12.391,2.759,18.705,10.402,1.88,1.62,3.741,1.275,9.259,2.031,10.824,9.279,16.307,7.434,9.224,10.758,5.91,7.099,11.624,4.148,14.668
25,1986,5.241,2.193,3.091,1.691,2.135,6.732,3.775,16.597,9.662,8.114,3.873,30.41,9.953,0.0,2.031,1.961,0.0,7.867,1.602,12.192,15.019,24.542,6.032,28.241,12.651,4.53,6.024,7.648,2.991,10.207,5.076,1.93,1.575,1.814,0.0,3.023,2.003,10.156,8.453,14.102,2.345,18.123,7.416,1.259,1.866,1.614,1.127,2.747,2.199,7.613,9.462,15.031,6.507,13.146,9.403,6.269,6.73,8.796,3.774,11.666
26,1993,4.409,2.513,3.787,1.599,3.369,19.238,2.901,22.046,10.168,11.32,6.113,24.438,10.4,1.446,1.476,1.848,0.0,8.649,2.043,14.018,13.39,16.368,6.944,25.0,10.575,5.175,5.308,5.72,4.358,8.107,4.556,1.192,1.985,1.557,1.611,2.377,2.734,5.276,7.204,7.248,2.824,15.55,9.976,1.176,1.525,2.551,1.268,5.507,2.47,5.697,7.662,13.061,6.193,10.705,10.105,6.691,4.5,10.115,3.381,15.883
27,2001,6.421,2.235,2.254,1.724,3.108,8.801,2.536,18.9,11.768,11.943,14.184,20.19,10.498,1.415,2.08,1.906,1.692,6.596,2.664,14.53,8.224,14.329,6.003,8.127,14.581,6.042,4.259,6.325,2.403,7.015,5.398,1.544,1.762,1.726,0.0,2.136,2.255,12.129,8.261,6.927,0.0,18.652,8.765,1.46,1.959,2.248,1.284,6.389,2.287,10.014,9.053,14.256,7.317,9.748,10.194,10.686,5.819,10.378,4.362,13.705
28,2008,7.475,3.14,3.323,2.429,3.394,17.2,2.959,15.32,9.863,7.815,14.355,23.34,8.01,1.162,2.658,5.353,0.0,8.993,2.338,11.812,7.773,15.56,3.897,11.144,11.324,3.647,4.089,6.052,5.837,7.961,3.521,1.701,2.097,2.444,1.767,2.866,2.93,5.451,7.983,9.528,2.885,25.097,9.94,1.808,1.816,4.086,1.558,11.084,2.536,7.881,8.185,8.166,5.422,8.497,6.617,4.469,6.706,8.89,3.054,14.047
29,2016,3.399,2.606,4.062,1.686,2.98,9.517,0.0,9.019,6.116,6.604,16.726,9.212,7.617,0.0,1.923,1.927,1.796,2.591,1.616,6.201,4.578,13.424,6.956,3.056,5.967,3.432,1.207,5.074,2.994,3.512,2.086,0.0,1.292,1.511,0.0,2.223,2.386,8.687,6.139,10.919,2.303,8.061,3.247,1.183,0.0,1.945,1.518,2.332,2.208,1.67,4.345,5.06,1.807,4.536,4.962,4.459,2.793,5.123,5.269,5.016
