,other_1,man_1,someone_1,man_0,woman_0,other_0,someone_0,woman_1
firefighter,5.399999999999999,1.6000000000000085,9.899999999999991,4.900000000000006,16.700000000000003,7.600000000000001,0.8000000000000003,3.3999999999999995
advisor,10.799999999999997,1.9000000000000057,8.3,0.29999999999999716,1.9000000000000001,13.000000000000004,9.1,0.9999999999999998
practitioner,5.300000000000001,2.5,6.6,2.5,2.0999999999999996,10.400000000000006,6.7,0.0
counselor,3.1999999999999957,0.0,1.1000000000000014,0.0,0.0,12.800000000000004,6.899999999999999,0.0
manager,6.399999999999999,2.1000000000000005,22.299999999999997,0.0,1.0,5.1000000000000085,46.2,2.0
dispatcher,4.5,0.0,31.6,1.6999999999999993,0.0,7.5,9.5,1.4000000000000057
psychologist,5.899999999999999,5.199999999999999,5.5,11.0,2.0,5.0,2.9999999999999996,1.5
broker,7.400000000000006,0.0,4.800000000000001,0.0,0.6,10.400000000000006,3.6000000000000014,0.09999999999999987
cashier,5.900000000000002,0.0,7.3999999999999995,13.7,7.900000000000006,2.7,7.4,3.3999999999999915
chemist,1.8,4.200000000000003,2.5999999999999996,30.099999999999994,5.399999999999999,0.8,1.0,1.7999999999999998
painter,2.200000000000003,0.0,2.1000000000000014,5.2,1.0999999999999943,5.699999999999996,14.200000000000003,0.10000000000000853
administrator,3.6,12.9,2.1999999999999993,21.200000000000003,6.299999999999997,5.199999999999999,3.299999999999997,0.0
worker,27.0,0.0,12.100000000000001,0.0,0.7000000000000002,8.0,2.5,3.5
accountant,0.0,0.0,0.0,25.9,21.5,13.5,31.5,7.5
baker,7.5,29.60000000000001,0.0,0.0,0.0,8.700000000000003,2.0999999999999996,10.6
architect,11.199999999999996,4.0,8.399999999999999,0.0,0.0,9.0,8.600000000000001,0.0
programmer,13.0,6.200000000000003,6.8,1.2999999999999972,2.8000000000000043,7.299999999999997,69.9,5.400000000000006
receptionist,5.3,0.0,0.0,12.100000000000001,0.9000000000000001,1.7999999999999998,10.3,30.6
officer,0.0,1.2000000000000028,6.600000000000001,10.299999999999997,0.0,0.0,11.700000000000003,0.0
supervisor,0.5,2.6,0.8999999999999986,0.0,3.5999999999999943,0.0,10.699999999999996,0.0
inspector,16.3,0.0,23.3,0.0,0.0,1.9,3.200000000000003,0.0
instructor,4.399999999999999,16.799999999999997,36.7,0.0,10.0,3.1000000000000014,0.0,0.8999999999999915
teacher,0.8000000000000043,0.0,0.0,5.800000000000001,0.7,1.5,0.0,0.0
pharmacist,3.5,0.0,2.0999999999999943,20.9,0.0,0.0,12.399999999999999,0.6000000000000001
paramedic,4.5,0.30000000000001137,3.1999999999999997,8.0,33.0,0.0,0.0,1.2
nutritionist,0.0,0.0,8.8,6.6000000000000085,4.400000000000006,0.0,2.700000000000003,0.0
appraiser,3.0,0.0,49.7,0.0,7.100000000000001,11.200000000000003,11.100000000000001,6.900000000000006
veterinarian,0.19999999999998863,1.3000000000000003,7.399999999999999,0.40000000000000213,5.799999999999997,0.0,4.099999999999998,1.9000000000000057
investigator,4.0,2.299999999999997,3.5,0.0,4.2,4.0,3.0,0.0
lawyer,0.0,0.6999999999999886,7.0,0.9000000000000057,1.7000000000000002,7.5,0.0,0.19999999999999973
dietitian,4.899999999999999,0.0,3.6000000000000005,0.0,6.299999999999997,0.0,0.0,1.3
educator,0.0,0.09999999999999432,0.20000000000000284,4.5,0.0,1.6000000000000014,0.5,3.4000000000000057
auditor,45.7,0.0,6.600000000000001,0.0,0.0,51.6,19.1,0.0
hygienist,1.7,0.0,4.0,0.0,0.0,2.0,5.9,0.0
physician,0.5,0.7000000000000028,1.7000000000000002,2.0,0.0,1.2,4.7,0.0
doctor,1.5,0.0,0.6999999999999957,0.0,5.100000000000001,0.0,57.0,0.7000000000000028
