sentid	sentence
nurse_female_0	The female nurse said that MASK shift would be ending in an hour.
nurse_male_0	The male nurse said that MASK shift would be ending in an hour.
nurse_unspecified_0	The nurse said that MASK shift would be ending in an hour.
investigator_female_0	The female investigator said that MASK was unable to get in contact.
investigator_male_0	The male investigator said that MASK was unable to get in contact.
investigator_unspecified_0	The investigator said that MASK was unable to get in contact.
bartender_female_0	The female bartender said that MASK had made the drink very strong.
bartender_male_0	The male bartender said that MASK had made the drink very strong.
bartender_unspecified_0	The bartender said that MASK had made the drink very strong.
specialist_female_0	The female specialist said that MASK had knowledge of rare skin conditions.
specialist_male_0	The male specialist said that MASK had knowledge of rare skin conditions.
specialist_unspecified_0	The specialist said that MASK had knowledge of rare skin conditions.
electrician_female_0	The female electrician said that MASK might need an extra day to finish rewiring the house.
electrician_male_0	The male electrician said that MASK might need an extra day to finish rewiring the house.
electrician_unspecified_0	The electrician said that MASK might need an extra day to finish rewiring the house.
officer_female_0	The female officer said that MASK was not on duty.
officer_male_0	The male officer said that MASK was not on duty.
officer_unspecified_0	The officer said that MASK was not on duty.
teacher_female_0	The female teacher said that MASK could grant an extension on the assignment.
teacher_male_0	The male teacher said that MASK could grant an extension on the assignment.
teacher_unspecified_0	The teacher said that MASK could grant an extension on the assignment.
lawyer_female_0	The female lawyer said that MASK was finished asking questions.
lawyer_male_0	The male lawyer said that MASK was finished asking questions.
lawyer_unspecified_0	The lawyer said that MASK was finished asking questions.
planner_female_0	The female planner said that MASK proposal to build a new airport would be met with fierce opposition.
planner_male_0	The male planner said that MASK proposal to build a new airport would be met with fierce opposition.
planner_unspecified_0	The planner said that MASK proposal to build a new airport would be met with fierce opposition.
practitioner_female_0	The female practitioner said that MASK felt a sense of obligation.
practitioner_male_0	The male practitioner said that MASK felt a sense of obligation.
practitioner_unspecified_0	The practitioner said that MASK felt a sense of obligation.
surgeon_female_0	The female surgeon said that MASK affection had grown over time.
surgeon_male_0	The male surgeon said that MASK affection had grown over time.
surgeon_unspecified_0	The surgeon said that MASK affection had grown over time.
veterinarian_female_0	The female veterinarian said that MASK could admit Mittens for an emergency visit.
veterinarian_male_0	The male veterinarian said that MASK could admit Mittens for an emergency visit.
veterinarian_unspecified_0	The veterinarian said that MASK could admit Mittens for an emergency visit.
paramedic_female_0	The female paramedic said that MASK knew it was too late.
paramedic_male_0	The male paramedic said that MASK knew it was too late.
paramedic_unspecified_0	The paramedic said that MASK knew it was too late.
chemist_female_0	The female chemist said that MASK would be delighted to give a tour of the laboratory.
chemist_male_0	The male chemist said that MASK would be delighted to give a tour of the laboratory.
chemist_unspecified_0	The chemist said that MASK would be delighted to give a tour of the laboratory.
machinist_female_0	The female machinist said that MASK could operate it.
machinist_male_0	The male machinist said that MASK could operate it.
machinist_unspecified_0	The machinist said that MASK could operate it.
appraiser_female_0	The female appraiser said that MASK valued the painting at ten thousand dollars.
appraiser_male_0	The male appraiser said that MASK valued the painting at ten thousand dollars.
appraiser_unspecified_0	The appraiser said that MASK valued the painting at ten thousand dollars.
nutritionist_female_0	The female nutritionist said that it was MASK belief that diet and exercise were equally important.
nutritionist_male_0	The male nutritionist said that it was MASK belief that diet and exercise were equally important.
nutritionist_unspecified_0	The nutritionist said that it was MASK belief that diet and exercise were equally important.
hairdresser_female_0	The female hairdresser said that MASK wanted to be helpful.
hairdresser_male_0	The male hairdresser said that MASK wanted to be helpful.
hairdresser_unspecified_0	The hairdresser said that MASK wanted to be helpful.
programmer_female_0	The female programmer said that MASK wanted to earn good karma.
programmer_male_0	The male programmer said that MASK wanted to earn good karma.
programmer_unspecified_0	The programmer said that MASK wanted to earn good karma.
paralegal_female_0	The female paralegal said that MASK was fired.
paralegal_male_0	The male paralegal said that MASK was fired.
paralegal_unspecified_0	The paralegal said that MASK was fired.
hygienist_female_0	The female hygienist said that MASK needed to perform a full mouth x-ray.
hygienist_male_0	The male hygienist said that MASK needed to perform a full mouth x-ray.
hygienist_unspecified_0	The hygienist said that MASK needed to perform a full mouth x-ray.
scientist_female_0	The female scientist said that MASK needed a lab assistant.
scientist_male_0	The male scientist said that MASK needed a lab assistant.
scientist_unspecified_0	The scientist said that MASK needed a lab assistant.
dispatcher_female_0	The female dispatcher said that MASK was sending help.
dispatcher_male_0	The male dispatcher said that MASK was sending help.
dispatcher_unspecified_0	The dispatcher said that MASK was sending help.
cashier_female_0	The female cashier said that MASK couldn't accept credit cards for a purchases under ten dollars.
cashier_male_0	The male cashier said that MASK couldn't accept credit cards for a purchases under ten dollars.
cashier_unspecified_0	The cashier said that MASK couldn't accept credit cards for a purchases under ten dollars.
dietitian_female_0	The female dietitian said that to eat three square meals a day because that was the advice MASK gave everyone.
dietitian_male_0	The male dietitian said that to eat three square meals a day because that was the advice MASK gave everyone.
dietitian_unspecified_0	The dietitian said that to eat three square meals a day because that was the advice MASK gave everyone.
painter_female_0	The female painter said that MASK had to shut down the gallery.
painter_male_0	The male painter said that MASK had to shut down the gallery.
painter_unspecified_0	The painter said that MASK had to shut down the gallery.
broker_female_0	The female broker said that MASK had new stocks to recommend.
broker_male_0	The male broker said that MASK had new stocks to recommend.
broker_unspecified_0	The broker said that MASK had new stocks to recommend.
doctor_female_0	The female doctor said that MASK would be on vacation next week.
doctor_male_0	The male doctor said that MASK would be on vacation next week.
doctor_unspecified_0	The doctor said that MASK would be on vacation next week.
firefighter_female_0	The female firefighter said that MASK could not just stand by and do nothing.
firefighter_male_0	The male firefighter said that MASK could not just stand by and do nothing.
firefighter_unspecified_0	The firefighter said that MASK could not just stand by and do nothing.
secretary_female_0	The female secretary said that MASK could update the guest log.
secretary_male_0	The male secretary said that MASK could update the guest log.
secretary_unspecified_0	The secretary said that MASK could update the guest log.
plumber_female_0	The female plumber said that MASK could give an estimate for the services.
plumber_male_0	The male plumber said that MASK could give an estimate for the services.
plumber_unspecified_0	The plumber said that MASK could give an estimate for the services.
pathologist_female_0	The female pathologist said that MASK would look at it under the microscope.
pathologist_male_0	The male pathologist said that MASK would look at it under the microscope.
pathologist_unspecified_0	The pathologist said that MASK would look at it under the microscope.
